Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Company Name,Sector,Industry,Market Cap,P/E Ratio,Beta,Dividend Yield,52 Week High,52 Week Low
2005-06-24 00:00:00+05:30,3.655213434302735,3.7412181708881653,3.61221106601002,3.6953489780426025,5741390,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-06-27 00:00:00+05:30,3.721151570247747,3.721151570247747,3.6408808142505595,3.666682243347168,5470009,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-06-28 00:00:00+05:30,3.683881835347638,3.683881835347638,3.5835422679835887,3.603610038757324,6006482,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-06-29 00:00:00+05:30,3.612211548583481,3.638012973006052,3.554874336371153,3.5921437740325928,5897254,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-06-30 00:00:00+05:30,3.726884531376289,3.726884531376289,3.569208818869848,3.583542585372925,5504639,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-07-01 00:00:00+05:30,3.6580810764561438,3.6580810764561438,3.543407711964426,3.5720763206481934,6498395,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-07-04 00:00:00+05:30,3.6208119838479687,3.6466134105308985,3.563475480108125,3.597877025604248,5874028,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-07-05 00:00:00+05:30,3.5921438712142146,3.7555536104735436,3.5921438712142146,3.7125508785247803,7381683,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-07-06 00:00:00+05:30,3.726884801692506,3.7498194005572536,3.689616078537291,3.72401762008667,6449986,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-07-07 00:00:00+05:30,3.732618504647096,3.7498194540409946,3.5548742906669046,3.6408801078796387,5723057,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-07-08 00:00:00+05:30,3.658081525061507,3.6924830748557045,3.617945967429144,3.6752824783325195,5565902,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-07-11 00:00:00+05:30,3.7268854633169153,3.8014232796075955,3.6408807023059064,3.772754669189453,6522196,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-07-12 00:00:00+05:30,3.7010839574707175,3.804290391965297,3.6896170118853373,3.7584211826324463,6713199,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-07-13 00:00:00+05:30,3.7842210129284366,3.8128896187936476,3.741218639252244,3.798555850982666,6228736,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-07-14 00:00:00+05:30,3.835824177490051,3.8558919516598813,3.75842026243988,3.7956886291503906,7012530,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-07-15 00:00:00+05:30,3.812889854475109,3.887427663535573,3.7412188705035954,3.8071558475494385,5941057,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-07-18 00:00:00+05:30,3.8128895784388166,3.8702267895623934,3.767020380336348,3.7956886291503906,5409516,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-07-19 00:00:00+05:30,3.858759721300225,3.858759721300225,3.7383526900536586,3.7584211826324463,5601915,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-07-20 00:00:00+05:30,3.8358244551867067,3.8415584621123773,3.772754303229813,3.8071558475494385,7147255,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-07-21 00:00:00+05:30,3.7842218119739393,3.893162251866519,3.7584210958158524,3.778488874435425,5787973,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-07-22 00:00:00+05:30,3.8214909422591252,3.8214909422591252,3.7297521765249595,3.755553960800171,5962039,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-07-25 00:00:00+05:30,3.792822774410731,3.818624561690788,3.726885785272833,3.7526872158050537,6593845,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-07-26 00:00:00+05:30,3.6752817823219712,3.8128897391782415,3.5606084254837858,3.7899551391601562,7599475,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-07-27 00:00:00+05:30,3.7670201458170918,3.8100225163610046,3.7383515420400935,3.7698869705200195,5346270,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-07-28 00:00:00+05:30,6.918480396270752,6.918480396270752,6.918480396270752,6.918480396270752,0,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-07-29 00:00:00+05:30,3.729751429308672,3.784220741984183,3.672414578431227,3.6924819946289062,5201263,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-08-01 00:00:00+05:30,3.681016421504164,3.7670215514313905,3.6122126029606676,3.643747329711914,6348939,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-08-02 00:00:00+05:30,3.669547705117943,3.7698872917661626,3.640880169141246,3.74981951713562,6547275,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-08-03 00:00:00+05:30,3.7842218993865098,3.7842218993865098,3.726885744468279,3.7584211826324463,8560244,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-08-04 00:00:00+05:30,3.764154161515982,3.76702134387851,3.7039511803553036,3.7526872158050537,5860418,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-08-05 00:00:00+05:30,3.920474865989644,3.9234611189182362,3.8517995945841688,3.8756866455078125,5893979,17.3005,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-08-08 00:00:00+05:30,3.89957360159214,3.9234610234979677,3.8368704660056796,3.857771635055542,5715280,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-08-09 00:00:00+05:30,3.845827652218048,3.881658973517966,3.8010394295010377,3.8249268531799316,5836448,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-08-10 00:00:00+05:30,3.83687110315146,3.911518519431378,3.83687110315146,3.8786730766296387,5746075,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-08-11 00:00:00+05:30,3.9234616750228652,3.9234616750228652,3.8518001405316165,3.8786730766296387,6050977,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-08-12 00:00:00+05:30,3.884644786681126,3.9354051430970847,3.8517997190367472,3.866729497909546,5693476,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-08-16 00:00:00+05:30,3.85478584655731,3.8965881896926566,3.830898793337112,3.851799964904785,5971995,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-08-17 00:00:00+05:30,3.8697147886637646,3.887630447983917,3.8368704660056796,3.857771635055542,6336282,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-08-18 00:00:00+05:30,3.878672215055389,3.9234608034996707,3.8517992849266838,3.8727004528045654,6209203,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-08-19 00:00:00+05:30,3.881658418840866,3.881658418840866,3.8368702025239547,3.845827102661133,8299341,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-08-22 00:00:00+05:30,3.8517992849266838,3.9712349015062576,3.8428420131135557,3.8727004528045654,9967231,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-08-23 00:00:00+05:30,3.92644695692482,3.92644695692482,3.771180384509438,3.7861101627349854,8839115,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-08-24 00:00:00+05:30,3.8816588727548242,3.8816588727548242,3.732364057780659,3.762223243713379,4888166,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-08-25 00:00:00+05:30,3.821941037805423,3.821941037805423,3.7054916454049733,3.7293787002563477,4506943,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
2005-08-26 00:00:00+05:30,3.81298272975786,3.866728960161228,3.7622227519642704,3.795067071914673,4815956,0.0,0.0,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2871491035136,40.485676,0.752,0.05,3315.0,2025.0
