Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Company Name,Sector,Industry,Market Cap,P/E Ratio,Beta,Dividend Yield,52 Week High,52 Week Low
2006-06-23 00:00:00+05:30,12.05770012405742,12.420337721773434,10.373248316664224,12.141106605529785,174356400,0.0,0.0,ALLCARGO.NS,Allcargo Logistics Limited,Industrials,Integrated Freight & Logistics,34790346752,96.638885,0.268,6.04,74.49,26.39
2006-06-26 00:00:00+05:30,12.275285033840616,12.429407156019375,10.48204249117459,10.943498611450195,39920480,0.0,0.0,ALLCARGO.NS,Allcargo Logistics Limited,Industrials,Integrated Freight & Logistics,34790346752,96.638885,0.268,6.04,74.49,26.39
2006-06-27 00:00:00+05:30,10.770339228421983,10.915394160143947,10.264459505594944,10.54369068145752,23914920,0.0,0.0,ALLCARGO.NS,Allcargo Logistics Limited,Industrials,Integrated Freight & Logistics,34790346752,96.638885,0.268,6.04,74.49,26.39
2006-06-28 00:00:00+05:30,10.181052705833407,11.404954823319587,10.135722997778362,11.081300735473633,38855000,0.0,0.0,ALLCARGO.NS,Allcargo Logistics Limited,Industrials,Integrated Freight & Logistics,34790346752,96.638885,0.268,6.04,74.49,26.39
2006-06-29 00:00:00+05:30,11.259897704759684,12.09396394523212,11.171958663851665,11.783002853393555,42613640,0.0,0.0,ALLCARGO.NS,Allcargo Logistics Limited,Industrials,Integrated Freight & Logistics,34790346752,96.638885,0.268,6.04,74.49,26.39
2006-06-30 00:00:00+05:30,11.967045119587675,12.456605502956817,11.785726254139378,11.929874420166016,32481840,0.0,0.0,ALLCARGO.NS,Allcargo Logistics Limited,Industrials,Integrated Freight & Logistics,34790346752,96.638885,0.268,6.04,74.49,26.39
2006-07-03 00:00:00+05:30,11.967043514799405,12.093966150251543,11.785724673666081,11.87819766998291,7198400,0.0,0.0,ALLCARGO.NS,Allcargo Logistics Limited,Industrials,Integrated Freight & Logistics,34790346752,96.638885,0.268,6.04,74.49,26.39
2006-07-04 00:00:00+05:30,11.96251151775642,12.055890620034436,11.785725905839453,11.841028213500977,2159040,0.0,0.0,ALLCARGO.NS,Allcargo Logistics Limited,Industrials,Integrated Freight & Logistics,34790346752,96.638885,0.268,6.04,74.49,26.39
2006-07-05 00:00:00+05:30,11.767590326873265,12.329678326868812,11.642479912942482,12.263497352600098,8076600,0.0,0.0,ALLCARGO.NS,Allcargo Logistics Limited,Industrials,Integrated Freight & Logistics,34790346752,96.638885,0.268,6.04,74.49,26.39
2006-07-06 00:00:00+05:30,12.130229653561493,12.690504158081167,11.856437840825008,12.001493453979492,23418800,0.0,0.0,ALLCARGO.NS,Allcargo Logistics Limited,Industrials,Integrated Freight & Logistics,34790346752,96.638885,0.268,6.04,74.49,26.39
2006-07-07 00:00:00+05:30,12.057702213696057,12.278911407975514,11.69687812877539,11.748553276062012,5454400,0.0,0.0,ALLCARGO.NS,Allcargo Logistics Limited,Industrials,Integrated Freight & Logistics,34790346752,96.638885,0.268,6.04,74.49,26.39
2006-07-10 00:00:00+05:30,11.513744091668503,12.021437297870554,11.513744091668503,11.853716850280762,2976360,0.0,0.0,ALLCARGO.NS,Allcargo Logistics Limited,Industrials,Integrated Freight & Logistics,34790346752,96.638885,0.268,6.04,74.49,26.39
2006-07-11 00:00:00+05:30,11.910832888984647,12.093963888263351,11.858250268888389,11.998772621154785,2418080,0.0,0.0,ALLCARGO.NS,Allcargo Logistics Limited,Industrials,Integrated Freight & Logistics,34790346752,96.638885,0.268,6.04,74.49,26.39
2006-07-12 00:00:00+05:30,11.787536217155312,12.112097052829562,11.425804693452525,11.899046897888184,849440,0.0,0.0,ALLCARGO.NS,Allcargo Logistics Limited,Industrials,Integrated Freight & Logistics,34790346752,96.638885,0.268,6.04,74.49,26.39
2006-07-13 00:00:00+05:30,11.788444259873488,12.110285477214875,11.788444259873488,11.869131088256836,1225600,0.0,0.0,ALLCARGO.NS,Allcargo Logistics Limited,Industrials,Integrated Freight & Logistics,34790346752,96.638885,0.268,6.04,74.49,26.39
