Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Company Name,Sector,Industry,Market Cap,P/E Ratio,Beta,Dividend Yield,52 Week High,52 Week Low
2005-06-24 00:00:00+05:30,7.183183180915108,7.546966812810312,7.090696076000827,7.414401531219482,806225,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-06-27 00:00:00+05:30,7.414400992761739,7.559298191428195,7.223260833015128,7.251007080078125,289185,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-06-28 00:00:00+05:30,7.281836480367725,7.448313378649061,7.096861691596184,7.133856296539307,289110,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-06-29 00:00:00+05:30,7.306500940131071,7.337329586614492,7.124609103388943,7.1708526611328125,256900,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-06-30 00:00:00+05:30,7.337329822080226,7.337329822080226,7.149272602817624,7.167769908905029,289570,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-07-01 00:00:00+05:30,7.183182559988981,7.44214713698605,7.096861426335706,7.260255336761475,778350,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-07-04 00:00:00+05:30,7.361990921075376,7.4359812996352845,7.275669792786458,7.402069091796875,376995,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-07-05 00:00:00+05:30,7.445230643684674,7.4606455529374625,7.235592581996052,7.272587776184082,187940,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-07-06 00:00:00+05:30,7.324996966107791,7.46064522141126,7.284918791850144,7.331162929534912,243455,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-07-07 00:00:00+05:30,7.34349310736301,7.39898559339645,7.275669284443552,7.300332546234131,191605,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-07-08 00:00:00+05:30,7.3681582242839925,7.466811296284854,7.251007848287642,7.417484760284424,341895,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-07-11 00:00:00+05:30,7.3989865923991545,7.799764797613326,7.337328135588379,7.7689361572265625,799795,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-07-12 00:00:00+05:30,7.8305948194732204,7.94466279972579,7.402070324074751,7.704195499420166,530100,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-07-13 00:00:00+05:30,7.830592143376889,7.904581920949921,7.657949329039815,7.741188049316406,1445130,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-07-14 00:00:00+05:30,7.768935770026613,8.01556840894042,7.67644808941999,7.713443279266357,434970,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-07-15 00:00:00+05:30,7.781266185393351,8.619817646297774,7.725773701212447,8.416345596313477,2627755,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-07-18 00:00:00+05:30,8.49033658427118,8.817124962841072,8.49033658427118,8.598237991333008,1203115,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-07-19 00:00:00+05:30,8.712307940627875,8.755468513318549,8.323861022355699,8.379353523254395,635590,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-07-20 00:00:00+05:30,8.632150079016736,8.632150079016736,8.379351492214216,8.42251205444336,789180,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-07-21 00:00:00+05:30,8.447177533850658,8.872619657265481,8.447177533850658,8.641401290893555,1289765,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-07-22 00:00:00+05:30,8.641399142176306,8.712305949107954,8.49341897759989,8.598237991333008,375020,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-07-25 00:00:00+05:30,8.934275442294453,10.16127381124616,8.817125089507815,9.174742698669434,3075935,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-07-26 00:00:00+05:30,8.940443493534417,9.304227150457779,8.632152338584955,9.076091766357422,985390,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-07-27 00:00:00+05:30,9.125417510140476,9.242567880100237,8.952774643035006,9.094588279724121,494925,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-07-28 00:00:00+05:30,45.47293472290039,45.47293472290039,45.47293472290039,45.47293472290039,0,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-07-29 00:00:00+05:30,9.153161250936334,9.187072865886448,8.203624859981602,9.014430046081543,667070,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-08-01 00:00:00+05:30,9.088421939497476,9.495366117681149,9.088421939497476,9.134665489196777,1326650,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-08-02 00:00:00+05:30,9.347386204544522,9.347386204544522,9.168577387260386,9.288810729980469,780970,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-08-03 00:00:00+05:30,9.4152117607147,9.495366940193456,9.227153975893051,9.257983207702637,807265,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-08-04 00:00:00+05:30,9.365885099142375,9.735834723074179,9.31039318476945,9.544693946838379,2556515,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-08-05 00:00:00+05:30,9.61868249330169,9.834485909101618,9.46453694429377,9.569355964660645,1933770,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-08-08 00:00:00+05:30,9.68034218221115,9.83448776023368,9.316558523994985,9.38129997253418,1328105,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-08-09 00:00:00+05:30,9.433709646365942,9.523113777306698,9.18707636469818,9.29806137084961,971430,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-08-10 00:00:00+05:30,9.409045066322511,9.606351193757028,9.298060075631275,9.350469589233398,1097390,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-08-11 00:00:00+05:30,9.430625866896769,9.557025185208026,9.37821635042488,9.458372116088867,539310,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-08-12 00:00:00+05:30,9.458372898428198,9.612518478681542,9.310393282509482,9.338139533996582,525465,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-08-16 00:00:00+05:30,9.433709458252324,9.470704067552623,9.298061185440895,9.36896800994873,390220,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-08-17 00:00:00+05:30,9.396712460492225,9.54777502689824,9.372049196344683,9.45528793334961,456610,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
2005-08-18 00:00:00+05:30,9.495367122951606,9.55085962367319,9.187075974959427,9.23640251159668,530935,0.0,0.0,ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials,Chemicals,10312858624,39.837696,0.321,1.05,126.6,65.1
