Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Company Name,Sector,Industry,Market Cap,P/E Ratio,Beta,Dividend Yield,52 Week High,52 Week Low
2017-03-29 00:00:00+05:30,101.59328598671183,104.49595130061789,96.75551046353507,100.91600036621094,241882,0.0,0.0,ARIHANTSUP.NS,Arihant Superstructures Limited,Real Estate,Real Estate - Development,15569985536,37.60231,0.548,0.33,553.6,278.0
2017-03-30 00:00:00+05:30,100.33547000575332,109.33373620357,98.35198630020294,105.60865020751953,878640,0.0,0.0,ARIHANTSUP.NS,Arihant Superstructures Limited,Real Estate,Real Estate - Development,15569985536,37.60231,0.548,0.33,553.6,278.0
2017-03-31 00:00:00+05:30,110.5431716634659,119.00927890246219,109.43048180711159,116.49363708496094,733527,0.0,0.0,ARIHANTSUP.NS,Arihant Superstructures Limited,Real Estate,Real Estate - Development,15569985536,37.60231,0.548,0.33,553.6,278.0
2017-04-03 00:00:00+05:30,118.52551255930821,127.4753982015417,114.1715141387622,124.28246307373047,737644,0.0,0.0,ARIHANTSUP.NS,Arihant Superstructures Limited,Real Estate,Real Estate - Development,15569985536,37.60231,0.548,0.33,553.6,278.0
2017-04-05 00:00:00+05:30,126.07245030992198,129.5556403042283,120.84765055474126,125.78218078613281,1355933,0.0,0.0,ARIHANTSUP.NS,Arihant Superstructures Limited,Real Estate,Real Estate - Development,15569985536,37.60231,0.548,0.33,553.6,278.0
2017-04-06 00:00:00+05:30,125.87892957350121,125.87892957350121,120.89601174608973,121.28303527832031,905768,0.0,0.0,ARIHANTSUP.NS,Arihant Superstructures Limited,Real Estate,Real Estate - Development,15569985536,37.60231,0.548,0.33,553.6,278.0
2017-04-07 00:00:00+05:30,122.879503293956,127.23350144216704,122.39572572193256,123.89543914794922,820123,0.0,0.0,ARIHANTSUP.NS,Arihant Superstructures Limited,Real Estate,Real Estate - Development,15569985536,37.60231,0.548,0.33,553.6,278.0
2017-04-10 00:00:00+05:30,124.86299033141681,129.74914660661167,122.20221376968608,122.78274536132812,718482,0.0,0.0,ARIHANTSUP.NS,Arihant Superstructures Limited,Real Estate,Real Estate - Development,15569985536,37.60231,0.548,0.33,553.6,278.0
2017-04-11 00:00:00+05:30,122.87950173946001,125.20162815030841,122.05708135379622,123.26652526855469,621038,0.0,0.0,ARIHANTSUP.NS,Arihant Superstructures Limited,Real Estate,Real Estate - Development,15569985536,37.60231,0.548,0.33,553.6,278.0
2017-04-12 00:00:00+05:30,124.86299651703521,126.1208211794544,122.00870436211787,125.68540954589844,621068,0.0,0.0,ARIHANTSUP.NS,Arihant Superstructures Limited,Real Estate,Real Estate - Development,15569985536,37.60231,0.548,0.33,553.6,278.0
2017-04-13 00:00:00+05:30,126.60460316378541,129.02349115114302,125.15327037137085,125.87893676757812,592124,0.0,0.0,ARIHANTSUP.NS,Arihant Superstructures Limited,Real Estate,Real Estate - Development,15569985536,37.60231,0.548,0.33,553.6,278.0
2017-04-17 00:00:00+05:30,125.44352244944665,127.0883780568239,123.99218968791637,124.08895111083984,615537,0.0,0.0,ARIHANTSUP.NS,Arihant Superstructures Limited,Real Estate,Real Estate - Development,15569985536,37.60231,0.548,0.33,553.6,278.0
2017-04-18 00:00:00+05:30,125.83054681536362,128.5880700602343,125.78216610642494,127.47538757324219,669069,0.0,0.0,ARIHANTSUP.NS,Arihant Superstructures Limited,Real Estate,Real Estate - Development,15569985536,37.60231,0.548,0.33,553.6,278.0
2017-04-19 00:00:00+05:30,128.24943051207458,128.3461771631297,127.28187541920903,128.2010498046875,536338,0.0,0.0,ARIHANTSUP.NS,Arihant Superstructures Limited,Real Estate,Real Estate - Development,15569985536,37.60231,0.548,0.33,553.6,278.0
2017-04-20 00:00:00+05:30,128.5880540495486,130.76505280725235,128.20103795366612,128.53968811035156,582659,0.0,0.0,ARIHANTSUP.NS,Arihant Superstructures Limited,Real Estate,Real Estate - Development,15569985536,37.60231,0.548,0.33,553.6,278.0
