Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Company Name,Sector,Industry,Market Cap,P/E Ratio,Beta,Dividend Yield,52 Week High,52 Week Low
2005-06-24 00:00:00+05:30,6.64918851852417,6.690832598254549,6.579781542462469,6.64918851852417,4177000,0.0,0.0,ASHOKLEY.NS,Ashok Leyland Limited,Industrials,Farm & Heavy Construction Machinery,688321331200,22.179148,0.336,2.67,264.65,191.86
2005-06-27 00:00:00+05:30,6.6353096763435975,6.829649505210326,6.607546768000717,6.704716682434082,6239556,0.0,0.0,ASHOKLEY.NS,Ashok Leyland Limited,Industrials,Farm & Heavy Construction Machinery,688321331200,22.179148,0.336,2.67,264.65,191.86
2005-06-28 00:00:00+05:30,6.73247863869918,6.815766822416136,6.524257649873432,6.593664646148682,6498370,0.0,0.0,ASHOKLEY.NS,Ashok Leyland Limited,Industrials,Farm & Heavy Construction Machinery,688321331200,22.179148,0.336,2.67,264.65,191.86
2005-06-29 00:00:00+05:30,6.621428491084221,6.649191399444483,6.552021484950285,6.579784393310547,5397204,0.0,0.0,ASHOKLEY.NS,Ashok Leyland Limited,Industrials,Farm & Heavy Construction Machinery,688321331200,22.179148,0.336,2.67,264.65,191.86
2005-06-30 00:00:00+05:30,6.635308283625288,6.663071186140873,6.496494300580687,6.538138389587402,12044730,0.0,0.0,ASHOKLEY.NS,Ashok Leyland Limited,Industrials,Farm & Heavy Construction Machinery,688321331200,22.179148,0.336,2.67,264.65,191.86
2005-07-01 00:00:00+05:30,6.663070699317161,6.899054559157967,6.538137911891651,6.815765857696533,11370348,0.0,0.0,ASHOKLEY.NS,Ashok Leyland Limited,Industrials,Farm & Heavy Construction Machinery,688321331200,22.179148,0.336,2.67,264.65,191.86
2005-07-04 00:00:00+05:30,6.8296493922761545,7.079514504163475,6.6630724745068,7.037870407104492,15078854,0.0,0.0,ASHOKLEY.NS,Ashok Leyland Limited,Industrials,Farm & Heavy Construction Machinery,688321331200,22.179148,0.336,2.67,264.65,191.86
2005-07-05 00:00:00+05:30,7.107277428732655,7.2044473417873505,6.95458169978001,7.093395709991455,10970754,0.0,0.0,ASHOKLEY.NS,Ashok Leyland Limited,Industrials,Farm & Heavy Construction Machinery,688321331200,22.179148,0.336,2.67,264.65,191.86
2005-07-06 00:00:00+05:30,7.10727784722226,7.2044477659985,7.10727784722226,7.176684856414795,10080772,0.0,0.0,ASHOKLEY.NS,Ashok Leyland Limited,Industrials,Farm & Heavy Construction Machinery,688321331200,22.179148,0.336,2.67,264.65,191.86
2005-07-07 00:00:00+05:30,7.393282826502625,7.653202811830249,6.9889627881216,7.191122531890869,26524806,43.25125,0.0,ASHOKLEY.NS,Ashok Leyland Limited,Industrials,Farm & Heavy Construction Machinery,688321331200,22.179148,0.336,2.67,264.65,191.86
2005-07-08 00:00:00+05:30,7.364404406986966,7.508804493398475,7.234444108879562,7.349964618682861,9643184,0.0,0.0,ASHOKLEY.NS,Ashok Leyland Limited,Industrials,Farm & Heavy Construction Machinery,688321331200,22.179148,0.336,2.67,264.65,191.86
2005-07-11 00:00:00+05:30,7.4221646618886155,7.4943647050943705,7.292204363781211,7.349964618682861,7141388,0.0,0.0,ASHOKLEY.NS,Ashok Leyland Limited,Industrials,Farm & Heavy Construction Machinery,688321331200,22.179148,0.336,2.67,264.65,191.86
2005-07-12 00:00:00+05:30,7.422163016543349,7.422163016543349,7.191122598996411,7.306642532348633,4955052,0.0,0.0,ASHOKLEY.NS,Ashok Leyland Limited,Industrials,Farm & Heavy Construction Machinery,688321331200,22.179148,0.336,2.67,264.65,191.86
2005-07-13 00:00:00+05:30,7.335522789252079,7.349963125465101,7.075602796685205,7.205563068389893,3350962,0.0,0.0,ASHOKLEY.NS,Ashok Leyland Limited,Industrials,Farm & Heavy Construction Machinery,688321331200,22.179148,0.336,2.67,264.65,191.86
2005-07-14 00:00:00+05:30,7.30664390314091,7.335524029607761,7.075603993091294,7.248884201049805,6448670,0.0,0.0,ASHOKLEY.NS,Ashok Leyland Limited,Industrials,Farm & Heavy Construction Machinery,688321331200,22.179148,0.336,2.67,264.65,191.86
2005-07-15 00:00:00+05:30,7.335521702039188,7.436601837179037,7.248881900972128,7.393281936645508,6069654,0.0,0.0,ASHOKLEY.NS,Ashok Leyland Limited,Industrials,Farm & Heavy Construction Machinery,688321331200,22.179148,0.336,2.67,264.65,191.86
2005-07-18 00:00:00+05:30,7.220004924615579,8.057525385702455,7.220004924615579,7.985325336456299,30408980,0.0,0.0,ASHOKLEY.NS,Ashok Leyland Limited,Industrials,Farm & Heavy Construction Machinery,688321331200,22.179148,0.336,2.67,264.65,191.86
2005-07-19 00:00:00+05:30,8.201924009385612,8.25968425873358,7.797603916477512,8.014204025268555,27305422,0.0,0.0,ASHOKLEY.NS,Ashok Leyland Limited,Industrials,Farm & Heavy Construction Machinery,688321331200,22.179148,0.336,2.67,264.65,191.86
2005-07-20 00:00:00+05:30,8.08640551556945,8.115285645436444,7.92756562756497,7.985325336456299,10985772,0.0,0.0,ASHOKLEY.NS,Ashok Leyland Limited,Industrials,Farm & Heavy Construction Machinery,688321331200,22.179148,0.336,2.67,264.65,191.86
