Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Company Name,Sector,Industry,Market Cap,P/E Ratio,Beta,Dividend Yield,52 Week High,52 Week Low
2007-03-20 00:00:00+05:30,4.38725007039485,4.84088304967379,4.259465903716705,4.48734712600708,107248928,0.0,0.0,ASTRAL.NS,Astral Limited,Industrials,Building Products & Equipment,422240518144,80.64649,0.421,0.24,2454.0,1232.3
2007-03-21 00:00:00+05:30,4.472437919061803,4.581054162135317,4.161497248535779,4.212610721588135,27409304,0.0,0.0,ASTRAL.NS,Astral Limited,Industrials,Building Products & Equipment,422240518144,80.64649,0.421,0.24,2454.0,1232.3
2007-03-22 00:00:00+05:30,4.344653800273927,4.429842763026109,4.144458857675768,4.1849236488342285,9761642,0.0,0.0,ASTRAL.NS,Astral Limited,Industrials,Building Products & Equipment,422240518144,80.64649,0.421,0.24,2454.0,1232.3
2007-03-23 00:00:00+05:30,4.25733640469005,4.25733640469005,3.839908400990958,3.9570438861846924,4447198,0.0,0.0,ASTRAL.NS,Astral Limited,Industrials,Building Products & Equipment,422240518144,80.64649,0.421,0.24,2454.0,1232.3
2007-03-26 00:00:00+05:30,3.9187083360763415,3.9208382525962167,3.6673991744653422,3.701474905014038,2657043,0.0,0.0,ASTRAL.NS,Astral Limited,Industrials,Building Products & Equipment,422240518144,80.64649,0.421,0.24,2454.0,1232.3
2007-03-28 00:00:00+05:30,3.769626519727793,3.769626519727793,3.3649773440187385,3.4182205200195312,1343599,0.0,0.0,ASTRAL.NS,Astral Limited,Industrials,Building Products & Equipment,422240518144,80.64649,0.421,0.24,2454.0,1232.3
2007-03-29 00:00:00+05:30,3.4075710512512782,3.450165762736138,3.243581727978895,3.3053441047668457,1938132,0.0,0.0,ASTRAL.NS,Astral Limited,Industrials,Building Products & Equipment,422240518144,80.64649,0.421,0.24,2454.0,1232.3
2007-03-30 00:00:00+05:30,3.4501661559576635,3.6205447956409373,3.2393227162915434,3.5310959815979004,3068377,0.0,0.0,ASTRAL.NS,Astral Limited,Industrials,Building Products & Equipment,422240518144,80.64649,0.421,0.24,2454.0,1232.3
2007-04-02 00:00:00+05:30,3.3436796499158308,3.6162852525554956,3.3287715892031935,3.416090488433838,791799,0.0,0.0,ASTRAL.NS,Astral Limited,Industrials,Building Products & Equipment,422240518144,80.64649,0.421,0.24,2454.0,1232.3
2007-04-03 00:00:00+05:30,3.4182205200195312,3.535355778030761,3.369236725882939,3.4182205200195312,421644,0.0,0.0,ASTRAL.NS,Astral Limited,Industrials,Building Products & Equipment,422240518144,80.64649,0.421,0.24,2454.0,1232.3
2007-04-04 00:00:00+05:30,3.467204167524893,3.467204167524893,3.2904362283486357,3.3138632774353027,364666,0.0,0.0,ASTRAL.NS,Astral Limited,Industrials,Building Products & Equipment,422240518144,80.64649,0.421,0.24,2454.0,1232.3
2007-04-05 00:00:00+05:30,3.301084916139428,3.55665276605509,3.290436236920063,3.3479390144348145,610533,0.0,0.0,ASTRAL.NS,Astral Limited,Industrials,Building Products & Equipment,422240518144,80.64649,0.421,0.24,2454.0,1232.3
