Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Company Name,Sector,Industry,Market Cap,P/E Ratio,Beta,Dividend Yield,52 Week High,52 Week Low
2010-01-08 00:00:00+05:30,453.06334379760136,481.6955997253308,450.5369682745664,468.05316162109375,9286,0.0,0.0,BAYERCROP.NS,Bayer CropScience Limited,Basic Materials,Agricultural Inputs,254664409088,44.897392,0.221,2.21,7196.85,4217.45
2010-01-11 00:00:00+05:30,470.70601156227593,480.8536125454236,459.0425437108936,468.0111999511719,59841,0.0,0.0,BAYERCROP.NS,Bayer CropScience Limited,Basic Materials,Agricultural Inputs,254664409088,44.897392,0.221,2.21,7196.85,4217.45
2010-01-12 00:00:00+05:30,468.2216650884746,474.9586674638483,455.71612498888675,457.6950988769531,6180,0.0,0.0,BAYERCROP.NS,Bayer CropScience Limited,Basic Materials,Agricultural Inputs,254664409088,44.897392,0.221,2.21,7196.85,4217.45
2010-01-13 00:00:00+05:30,459.8003793207396,463.1688802681442,455.5897531364837,458.32666015625,2487,0.0,0.0,BAYERCROP.NS,Bayer CropScience Limited,Basic Materials,Agricultural Inputs,254664409088,44.897392,0.221,2.21,7196.85,4217.45
2010-01-14 00:00:00+05:30,462.32670537739,471.590081987866,459.04239674670714,467.7584228515625,9078,0.0,0.0,BAYERCROP.NS,Bayer CropScience Limited,Basic Materials,Agricultural Inputs,254664409088,44.897392,0.221,2.21,7196.85,4217.45
2010-01-15 00:00:00+05:30,462.74785774958275,481.69567722067575,455.758227957874,473.8639221191406,21057,0.0,0.0,BAYERCROP.NS,Bayer CropScience Limited,Basic Materials,Agricultural Inputs,254664409088,44.897392,0.221,2.21,7196.85,4217.45
2010-01-18 00:00:00+05:30,483.37997646324123,505.2752367211581,473.8639697848438,485.1063232421875,22052,0.0,0.0,BAYERCROP.NS,Bayer CropScience Limited,Basic Materials,Agricultural Inputs,254664409088,44.897392,0.221,2.21,7196.85,4217.45
2010-01-19 00:00:00+05:30,503.50675768343297,503.50675768343297,471.5901869698782,484.01153564453125,18238,0.0,0.0,BAYERCROP.NS,Bayer CropScience Limited,Basic Materials,Agricultural Inputs,254664409088,44.897392,0.221,2.21,7196.85,4217.45
2010-01-20 00:00:00+05:30,488.43261401684254,501.064491965554,484.2219880339387,486.3273010253906,22403,0.0,0.0,BAYERCROP.NS,Bayer CropScience Limited,Basic Materials,Agricultural Inputs,254664409088,44.897392,0.221,2.21,7196.85,4217.45
2010-01-21 00:00:00+05:30,484.2220113375638,491.801138471543,467.3795065953877,470.91644287109375,22590,0.0,0.0,BAYERCROP.NS,Bayer CropScience Limited,Basic Materials,Agricultural Inputs,254664409088,44.897392,0.221,2.21,7196.85,4217.45
2010-01-22 00:00:00+05:30,463.0846191006038,473.2743123840529,446.45264815828165,457.4844665527344,13994,0.0,0.0,BAYERCROP.NS,Bayer CropScience Limited,Basic Materials,Agricultural Inputs,254664409088,44.897392,0.221,2.21,7196.85,4217.45
2010-01-25 00:00:00+05:30,433.6945461445502,463.1689327757332,433.6945461445502,453.98974609375,17146,0.0,0.0,BAYERCROP.NS,Bayer CropScience Limited,Basic Materials,Agricultural Inputs,254664409088,44.897392,0.221,2.21,7196.85,4217.45
