Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Company Name,Sector,Industry,Market Cap,P/E Ratio,Beta,Dividend Yield,52 Week High,52 Week Low
2017-09-27 00:00:00+05:30,620.5180362931847,661.4030614882596,608.6528549956955,649.2042846679688,34610637,0.0,0.0,ICICIGI.NS,ICICI Lombard General Insurance Company Limited,Financial Services,Insurance - Diversified,956553887744,38.39769,0.564,0.65,2301.9,1613.7
2017-09-28 00:00:00+05:30,639.6262754935348,657.5432325581475,629.0476048185386,653.6834716796875,4535542,0.0,0.0,ICICIGI.NS,ICICI Lombard General Insurance Company Limited,Financial Services,Insurance - Diversified,956553887744,38.39769,0.564,0.65,2301.9,1613.7
2017-09-29 00:00:00+05:30,652.825938900059,655.3991330666236,645.8211874945375,648.2514038085938,1367676,0.0,0.0,ICICIGI.NS,ICICI Lombard General Insurance Company Limited,Financial Services,Insurance - Diversified,956553887744,38.39769,0.564,0.65,2301.9,1613.7
2017-10-03 00:00:00+05:30,645.2967352709843,656.1136631116032,642.4376446261534,652.3491821289062,1752630,0.0,0.0,ICICIGI.NS,ICICI Lombard General Insurance Company Limited,Financial Services,Insurance - Diversified,956553887744,38.39769,0.564,0.65,2301.9,1613.7
2017-10-04 00:00:00+05:30,649.4900463990735,654.5887344277521,647.8222436386944,649.6806640625,545357,0.0,0.0,ICICIGI.NS,ICICI Lombard General Insurance Company Limited,Financial Services,Insurance - Diversified,956553887744,38.39769,0.564,0.65,2301.9,1613.7
2017-10-05 00:00:00+05:30,644.3437168409021,648.9659483689267,633.9080823310832,634.9087524414062,486144,0.0,0.0,ICICIGI.NS,ICICI Lombard General Insurance Company Limited,Financial Services,Insurance - Diversified,956553887744,38.39769,0.564,0.65,2301.9,1613.7
2017-10-06 00:00:00+05:30,633.7652727014878,648.5372452231014,631.8592117309571,648.0607299804688,568793,0.0,0.0,ICICIGI.NS,ICICI Lombard General Insurance Company Limited,Financial Services,Insurance - Diversified,956553887744,38.39769,0.564,0.65,2301.9,1613.7
2017-10-09 00:00:00+05:30,638.5303489601,653.7788349054158,638.5303489601,651.8251342773438,647645,0.0,0.0,ICICIGI.NS,ICICI Lombard General Insurance Company Limited,Financial Services,Insurance - Diversified,956553887744,38.39769,0.564,0.65,2301.9,1613.7
2017-10-10 00:00:00+05:30,648.0605242541499,657.5908260814167,648.0605242541499,654.2075805664062,750266,0.0,0.0,ICICIGI.NS,ICICI Lombard General Insurance Company Limited,Financial Services,Insurance - Diversified,956553887744,38.39769,0.564,0.65,2301.9,1613.7
2017-10-11 00:00:00+05:30,651.4913825442179,657.4955189803159,651.4913825442179,655.1605834960938,351011,0.0,0.0,ICICIGI.NS,ICICI Lombard General Insurance Company Limited,Financial Services,Insurance - Diversified,956553887744,38.39769,0.564,0.65,2301.9,1613.7
