Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Company Name,Sector,Industry,Market Cap,P/E Ratio,Beta,Dividend Yield,52 Week High,52 Week Low
2005-09-12 00:00:00+05:30,8.796159550425392,8.796159550425392,7.811651599574369,7.866858005523682,232500,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-09-13 00:00:00+05:30,8.648941736833306,8.648941736833306,7.848454648895675,8.032474517822266,220000,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-09-14 00:00:00+05:30,8.096881831228547,8.446520008023235,7.6368317371527885,7.710439682006836,132000,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-09-15 00:00:00+05:30,7.8208518879256745,8.087680917238218,7.8208518879256745,8.032474517822266,56500,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-09-16 00:00:00+05:30,8.060078757070656,8.096882733599362,7.8852592104522925,7.931264400482178,45500,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-09-19 00:00:00+05:30,7.8300525381429695,8.170489490565375,7.728840959398547,7.8208513259887695,84000,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-09-20 00:00:00+05:30,7.820852479024107,7.839254906045593,7.443611499843812,7.5448222160339355,33000,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-09-21 00:00:00+05:30,7.360802117414705,7.406807306143746,6.523511016954941,6.808742046356201,57590,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-09-22 00:00:00+05:30,6.6247219735763325,6.900752238616184,5.520601790892948,5.879440784454346,118500,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-09-23 00:00:00+05:30,6.698330359866207,6.698330359866207,5.704621669874739,6.072661876678467,48500,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-09-26 00:00:00+05:30,6.146268847492425,6.670726091231453,6.146268847492425,6.560314178466797,88500,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-09-27 00:00:00+05:30,6.624721728632945,6.909953196705676,6.46830505221428,6.61552095413208,28500,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-09-28 00:00:00+05:30,6.974358753262377,6.974358753262377,5.713821709728237,6.137067794799805,54000,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-09-29 00:00:00+05:30,6.532712440562378,6.643124377997248,6.081863476667637,6.173873424530029,14000,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-09-30 00:00:00+05:30,6.219878228333633,6.4407020893751055,5.677018911832996,5.879440784454346,68000,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-10-03 00:00:00+05:30,5.8886412701495265,6.054259145458916,5.8886412701495265,5.916244029998779,62000,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-10-04 00:00:00+05:30,5.989853148232687,6.072661876678467,5.907043981048894,6.072661876678467,31000,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-10-05 00:00:00+05:30,5.732224822459836,6.422300039744384,5.732224822459836,6.100265026092529,15500,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-10-06 00:00:00+05:30,6.210677088856401,6.210677088856401,6.091063943329449,6.164671897888184,2300,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-10-07 00:00:00+05:30,6.431499830246344,6.431499830246344,5.9346457849370955,6.026656150817871,9500,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-10-10 00:00:00+05:30,6.330289921569719,6.348691909300061,6.1002648555714405,6.229078769683838,34500,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-10-11 00:00:00+05:30,6.403898327193618,6.440702305267533,6.091064074827312,6.302687168121338,9000,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-10-13 00:00:00+05:30,6.256682653028147,6.284285418265135,6.1646722656034045,6.219878673553467,37500,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-10-14 00:00:00+05:30,6.081863476667637,6.183074199947249,6.072662262512379,6.173873424530029,92500,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-10-17 00:00:00+05:30,5.897842893574175,6.06346123148268,5.649415825449438,5.7046217918396,21000,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-10-18 00:00:00+05:30,5.704622104210239,5.796632491970118,5.704622104210239,5.713823318481445,5000,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-10-19 00:00:00+05:30,5.704620858601087,5.704620858601087,5.005344959984633,5.097354888916016,17000,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-10-20 00:00:00+05:30,4.784521188415678,5.216968557385515,4.112847979394055,4.370476245880127,29500,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-10-21 00:00:00+05:30,4.416481715296699,4.931737842291644,4.416481715296699,4.885732650756836,17000,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-10-24 00:00:00+05:30,4.370476419275457,5.060551643371582,4.370476419275457,5.060551643371582,11000,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-10-25 00:00:00+05:30,5.299777931652485,5.299777931652485,5.060551643371582,5.060551643371582,8500,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-10-26 00:00:00+05:30,4.324471743443928,5.1341602080317985,4.315270967504872,4.766119956970215,7000,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-10-27 00:00:00+05:30,5.032948441363012,5.060551643371582,4.766119389811552,5.060551643371582,15,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-10-28 00:00:00+05:30,4.609701890977735,4.959339609142842,4.462485570907125,4.692510604858398,15000,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-10-31 00:00:00+05:30,5.465395298374735,5.474596072328173,4.425681956096042,4.867330074310303,6500,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-11-02 00:00:00+05:30,4.4624858005353785,5.26297285457975,4.4624858005353785,5.189364910125732,18000,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-11-04 00:00:00+05:30,5.189364910125732,5.189364910125732,5.189364910125732,5.189364910125732,0,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-11-07 00:00:00+05:30,5.244571750024861,5.842637057349318,5.189365782404793,5.6034111976623535,52000,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-11-08 00:00:00+05:30,5.70462088133266,6.072661037262693,5.548204220895002,5.8242340087890625,119000,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-11-09 00:00:00+05:30,5.539003802699859,5.704621699180235,5.3365819292238434,5.373385906219482,85000,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-11-10 00:00:00+05:30,5.60341053723547,5.612611311385382,5.244571131891361,5.345782279968262,36000,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-11-11 00:00:00+05:30,5.52980265273277,5.52980265273277,5.391787528991699,5.391787528991699,7500,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-11-14 00:00:00+05:30,5.704622617702398,5.704622617702398,5.4285927457905245,5.520602703094482,2280,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-11-16 00:00:00+05:30,5.750627147948998,5.750627147948998,5.529803276062012,5.529803276062012,25500,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-11-17 00:00:00+05:30,5.53900344175286,6.091063499450684,5.428591517960893,6.091063499450684,134500,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-11-18 00:00:00+05:30,6.238280034774395,6.532711840907371,6.155470869930497,6.201475620269775,130000,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
2005-11-21 00:00:00+05:30,5.943848144516898,6.293486373897427,5.943848144516898,6.256682395935059,44000,0.0,0.0,ICIL.NS,Indo Count Industries Limited,Consumer Cyclical,Textile Manufacturing,53306232832,21.688154,0.392,0.82,450.65,213.55
