Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Company Name,Sector,Industry,Market Cap,P/E Ratio,Beta,Dividend Yield,52 Week High,52 Week Low
2010-11-25 00:00:00+05:30,6.683536900781558,7.2326118008397025,5.051097714492618,5.368516445159912,15680700,0.0,0.0,JINDWORLD.NS,Jindal Worldwide Limited,Consumer Cyclical,Textile Manufacturing,58161250304,75.6579,-0.456,0.07,94.24,54.14
2010-11-26 00:00:00+05:30,5.224593789170802,5.507510168221934,4.771138457881884,5.101372241973877,2184450,0.0,0.0,JINDWORLD.NS,Jindal Worldwide Limited,Consumer Cyclical,Textile Manufacturing,58161250304,75.6579,-0.456,0.07,94.24,54.14
2010-11-29 00:00:00+05:30,4.7336789748253825,5.019552925062277,4.376829387491177,4.458648204803467,733900,0.0,0.0,JINDWORLD.NS,Jindal Worldwide Limited,Consumer Cyclical,Textile Manufacturing,58161250304,75.6579,-0.456,0.07,94.24,54.14
2010-11-30 00:00:00+05:30,4.339370345813478,5.350772918344479,4.057439642443594,4.762266635894775,3824450,0.0,0.0,JINDWORLD.NS,Jindal Worldwide Limited,Consumer Cyclical,Textile Manufacturing,58161250304,75.6579,-0.456,0.07,94.24,54.14
2010-12-01 00:00:00+05:30,4.790853674003705,5.1023577164506735,4.742550570177097,4.837184906005859,653750,0.0,0.0,JINDWORLD.NS,Jindal Worldwide Limited,Consumer Cyclical,Textile Manufacturing,58161250304,75.6579,-0.456,0.07,94.24,54.14
2010-12-02 00:00:00+05:30,4.849999755039408,5.007723171446265,4.77113804683598,4.815497875213623,391550,0.0,0.0,JINDWORLD.NS,Jindal Worldwide Limited,Consumer Cyclical,Textile Manufacturing,58161250304,75.6579,-0.456,0.07,94.24,54.14
2010-12-03 00:00:00+05:30,4.771138984565427,4.830285277342732,4.576941778422782,4.603557586669922,167650,0.0,0.0,JINDWORLD.NS,Jindal Worldwide Limited,Consumer Cyclical,Textile Manufacturing,58161250304,75.6579,-0.456,0.07,94.24,54.14
2010-12-06 00:00:00+05:30,4.633129967793545,4.711992152524187,4.5148373957769286,4.579898357391357,141550,0.0,0.0,JINDWORLD.NS,Jindal Worldwide Limited,Consumer Cyclical,Textile Manufacturing,58161250304,75.6579,-0.456,0.07,94.24,54.14
2010-12-07 00:00:00+05:30,4.504980195892132,4.6321445541789075,4.456677087121607,4.4793500900268555,108900,0.0,0.0,JINDWORLD.NS,Jindal Worldwide Limited,Consumer Cyclical,Textile Manufacturing,58161250304,75.6579,-0.456,0.07,94.24,54.14
2010-12-08 00:00:00+05:30,4.475406645516867,4.508922828051529,4.337398641528829,4.433018684387207,91150,0.0,0.0,JINDWORLD.NS,Jindal Worldwide Limited,Consumer Cyclical,Textile Manufacturing,58161250304,75.6579,-0.456,0.07,94.24,54.14
2010-12-09 00:00:00+05:30,4.357114430009377,4.435976153077845,3.824797329244271,4.083069801330566,65750,0.0,0.0,JINDWORLD.NS,Jindal Worldwide Limited,Consumer Cyclical,Textile Manufacturing,58161250304,75.6579,-0.456,0.07,94.24,54.14
2010-12-10 00:00:00+05:30,3.8839434714238186,4.199390821557997,3.767622293377979,4.127429008483887,21950,0.0,0.0,JINDWORLD.NS,Jindal Worldwide Limited,Consumer Cyclical,Textile Manufacturing,58161250304,75.6579,-0.456,0.07,94.24,54.14
