Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Company Name,Sector,Industry,Market Cap,P/E Ratio,Beta,Dividend Yield,52 Week High,52 Week Low
2006-10-10 00:00:00+05:30,21.435253754168915,21.435253754168915,19.51608208801537,20.94464874267578,24800,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-10-11 00:00:00+05:30,21.00276338981576,21.34605140944579,20.274289760402993,20.641904830932617,18500,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-10-12 00:00:00+05:30,22.165081232879743,22.165081232879743,20.66488409074562,20.70137596130371,8675,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-10-13 00:00:00+05:30,20.598660593831255,21.08385994500492,20.543247391411583,20.55135726928711,13225,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-10-16 00:00:00+05:30,21.354166910745523,21.354166910745523,19.975606166366873,20.377010345458984,54125,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-10-17 00:00:00+05:30,20.27429130384869,20.65001627922723,19.597174587129754,19.733678817749023,17125,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-10-18 00:00:00+05:30,21.083859721511562,21.083859721511562,19.272810070671397,19.547170639038086,25100,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-10-19 00:00:00+05:30,21.083856556923102,21.083856556923102,19.467427459704957,19.480941772460938,2450,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-10-20 00:00:00+05:30,19.782333652319036,20.005335925959905,19.651235150706114,19.86207389831543,22725,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-10-23 00:00:00+05:30,20.6784032602528,20.6784032602528,19.62556131409724,19.874242782592773,4975,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-10-26 00:00:00+05:30,19.894510264999255,20.2729380816257,19.626907544189894,19.702592849731445,4950,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-10-27 00:00:00+05:30,20.24590917578051,20.27294038163707,19.816123056228168,19.871536254882812,2125,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-10-30 00:00:00+05:30,20.27294574756881,21.689349344165166,20.27294574756881,21.428503036499023,521525,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-10-31 00:00:00+05:30,21.38119122840501,21.624466893409846,20.81354886933951,20.844635009765625,170175,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-11-01 00:00:00+05:30,21.379843451987778,22.921936897130376,20.05939893673454,20.871667861938477,28475,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-11-02 00:00:00+05:30,21.300100767431424,21.300100767431424,20.463503594433334,20.71623992919922,47750,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-11-03 00:00:00+05:30,20.0702116791841,20.732460761774362,20.0702116791841,20.40944480895996,33950,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-11-06 00:00:00+05:30,20.110754552029217,21.32442744802445,20.110754552029217,20.82436180114746,58925,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-11-07 00:00:00+05:30,21.054122834134134,22.192110477530704,21.0027645780683,21.68258285522461,259775,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-11-08 00:00:00+05:30,21.08656499870348,21.62447345627643,20.894647528683862,21.250099182128906,126575,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-11-09 00:00:00+05:30,22.97599733185777,22.97599733185777,20.948703449635026,22.105613708496094,584875,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-11-10 00:00:00+05:30,22.165078966058122,23.895037317035747,22.165078966058122,23.031410217285156,441525,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-11-13 00:00:00+05:30,21.901535704923578,23.516613064182206,21.901535704923578,22.502965927124023,95000,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-11-14 00:00:00+05:30,21.75961814391616,22.78678052763829,21.48931130373352,21.493366241455078,69700,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-11-15 00:00:00+05:30,21.6514967633588,22.651627986294343,21.49201628858831,22.304285049438477,205925,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-11-16 00:00:00+05:30,24.327523418372166,24.327523418372166,21.544725024503453,21.67041778564453,176775,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-11-17 00:00:00+05:30,21.705560899303318,22.02992763784969,21.219010791483765,21.69610023498535,120925,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-11-20 00:00:00+05:30,22.081286888208204,22.081286888208204,20.67840048775449,21.306861877441406,45875,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-11-21 00:00:00+05:30,21.220363752439106,21.833958749588206,21.220363752439106,21.78665542602539,5875,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-11-22 00:00:00+05:30,21.78665483497788,22.11102157825367,21.736647360923353,21.904237747192383,47825,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-11-23 00:00:00+05:30,24.300494212492413,24.300494212492413,21.381191368923268,21.683935165405273,9125,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-11-24 00:00:00+05:30,21.408230080628353,21.623122544441866,20.84058751872388,20.94330406188965,55950,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-11-27 00:00:00+05:30,22.67865894769415,22.67865894769415,20.543241810096273,20.814899444580078,14600,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-11-28 00:00:00+05:30,21.354165681056706,21.354165681056706,20.678400952472117,21.000064849853516,20025,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-11-29 00:00:00+05:30,22.16372822172309,22.16372822172309,20.678397618693737,20.789222717285156,8200,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-11-30 00:00:00+05:30,21.083860350324773,21.083860350324773,20.408095612031275,20.51081085205078,12850,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-12-01 00:00:00+05:30,20.468914444221486,21.62447152252534,20.468914444221486,20.81625747680664,23450,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-12-04 00:00:00+05:30,20.813549746135237,20.813549746135237,20.299969770030007,20.337812423706055,34575,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-12-05 00:00:00+05:30,20.299971413964958,22.02992732859383,20.299971413964958,21.182519912719727,58275,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-12-06 00:00:00+05:30,21.17981742978974,21.354165626405937,20.4351251854289,20.53378677368164,13925,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-12-07 00:00:00+05:30,20.54324659613738,22.84084631543689,19.73232973051813,22.04749870300293,282825,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-12-08 00:00:00+05:30,21.75962513149088,22.13805173586459,21.089266117951567,21.247394561767578,56675,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-12-11 00:00:00+05:30,21.35416438128786,21.355515168245507,20.27294062357983,20.70137596130371,48575,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-12-12 00:00:00+05:30,20.92167282426004,21.48661236742029,19.867480337257167,20.278345108032227,75700,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-12-13 00:00:00+05:30,20.543243481453928,21.078448918292608,19.740435326195904,20.82436180114746,76475,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-12-14 00:00:00+05:30,21.48931714049932,21.48931714049932,21.412281036376953,21.412281036376953,20325,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-12-15 00:00:00+05:30,21.62446632559616,22.30023089827104,21.62446632559616,21.86098289489746,106925,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-12-18 00:00:00+05:30,21.62446949635282,21.81368277953786,21.410927870387685,21.651500701904297,6700,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-12-19 00:00:00+05:30,21.651503792335177,22.273206141732036,20.868967551436736,20.95005989074707,20050,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-12-20 00:00:00+05:30,20.950057612692746,22.96248401777305,20.950057612692746,21.22171401977539,41250,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-12-21 00:00:00+05:30,21.2217106259645,22.328613348886837,19.826933075898424,21.948833465576172,85900,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-12-22 00:00:00+05:30,21.948835722616757,22.678662788627623,21.624468997002232,21.77313804626465,31300,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-12-26 00:00:00+05:30,22.91923368382101,22.91923368382101,22.165079585630586,22.167783737182617,29275,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-12-27 00:00:00+05:30,21.651504666777925,22.300238251785068,21.250099182128906,21.250099182128906,17400,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-12-28 00:00:00+05:30,22.705689316008975,22.705689316008975,21.219007983297185,22.32320785522461,76650,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2006-12-29 00:00:00+05:30,20.94870368359517,22.300232953504533,20.94870368359517,21.627172470092773,19325,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2007-01-02 00:00:00+05:30,21.087911614823966,22.400246206610365,21.087911614823966,22.300233840942383,36275,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2007-01-03 00:00:00+05:30,24.300496769204777,24.300496769204777,22.301584763561834,22.54621124267578,60600,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2007-01-04 00:00:00+05:30,22.083988381968307,22.502961732051396,21.89477510989933,22.1596736907959,37300,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2007-01-05 00:00:00+05:30,22.354297784060254,22.705693163818236,22.300235370043467,22.408357620239258,30750,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2007-01-08 00:00:00+05:30,21.62446723074428,22.298881044920282,21.62446723074428,21.759620666503906,8800,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2007-01-09 00:00:00+05:30,21.546084084699338,22.029930094744397,21.496076605796844,21.894779205322266,27575,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2007-01-10 00:00:00+05:30,21.75962010598129,22.165077824978304,21.705557701935128,22.029924392700195,14000,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2007-01-11 00:00:00+05:30,23.246303969596283,23.246303969596283,21.49201856158743,21.624467849731445,18750,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2007-01-12 00:00:00+05:30,21.894778202026814,21.894778202026814,21.35551643371582,21.35551643371582,19300,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2007-01-15 00:00:00+05:30,22.138045804755887,22.138045804755887,21.15143016791343,21.35416030883789,63325,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2007-01-16 00:00:00+05:30,21.38389818721389,21.487966789293413,20.813552856445312,20.813552856445312,21775,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2007-01-17 00:00:00+05:30,21.21901065237241,21.624469717356614,21.083858489990234,21.083858489990234,13375,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2007-01-18 00:00:00+05:30,21.62446774059747,21.62446774059747,20.81354968475758,21.456878662109375,10375,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2007-01-19 00:00:00+05:30,21.624469644830533,22.165080870383765,21.624469644830533,21.7055606842041,23125,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2007-01-22 00:00:00+05:30,20.251315229863465,24.300496099631655,20.251315229863465,22.980052947998047,215850,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2007-01-23 00:00:00+05:30,23.165214402814442,23.376053186757435,22.57054328918457,22.57054328918457,36700,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2007-01-24 00:00:00+05:30,22.90301955054132,23.13548383891191,22.462423188064488,22.650285720825195,16750,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2007-01-25 00:00:00+05:30,23.030062630670233,23.030062630670233,22.38132654775835,22.97464942932129,26250,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2007-01-29 00:00:00+05:30,22.840851499375955,23.51661635188908,22.438095193578587,22.705698013305664,58000,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2007-01-31 00:00:00+05:30,23.489579968655487,24.057222422932387,22.056959518466268,22.354297637939453,44900,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
2007-02-01 00:00:00+05:30,20.948704517248906,22.840845054852252,20.948704517248906,22.300233840942383,115950,0.0,0.0,JMFINANCIL.NS,JM Financial Limited,Financial Services,Capital Markets,136074649600,16.59091,0.187,1.89,168.75,80.2
