Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Company Name,Sector,Industry,Market Cap,P/E Ratio,Beta,Dividend Yield,52 Week High,52 Week Low
2005-06-24 00:00:00+05:30,11.047262191772461,11.047262191772461,11.047262191772461,11.047262191772461,0,0.0,0.0,KEYFINSERV.NS,Keynote Financial Services Limited,Financial Services,Capital Markets,1489911168,10.223453,0.921,0.37,479.0,167.0
2005-06-27 00:00:00+05:30,11.047262191772461,11.047262191772461,11.047262191772461,11.047262191772461,0,0.0,0.0,KEYFINSERV.NS,Keynote Financial Services Limited,Financial Services,Capital Markets,1489911168,10.223453,0.921,0.37,479.0,167.0
2005-06-28 00:00:00+05:30,11.047262191772461,11.047262191772461,11.047262191772461,11.047262191772461,0,0.0,0.0,KEYFINSERV.NS,Keynote Financial Services Limited,Financial Services,Capital Markets,1489911168,10.223453,0.921,0.37,479.0,167.0
2005-06-29 00:00:00+05:30,11.047262191772461,11.047262191772461,11.047262191772461,11.047262191772461,0,0.0,0.0,KEYFINSERV.NS,Keynote Financial Services Limited,Financial Services,Capital Markets,1489911168,10.223453,0.921,0.37,479.0,167.0
2005-06-30 00:00:00+05:30,11.047262191772461,11.047262191772461,11.047262191772461,11.047262191772461,0,0.0,0.0,KEYFINSERV.NS,Keynote Financial Services Limited,Financial Services,Capital Markets,1489911168,10.223453,0.921,0.37,479.0,167.0
2005-07-01 00:00:00+05:30,11.047262191772461,11.047262191772461,11.047262191772461,11.047262191772461,0,0.0,0.0,KEYFINSERV.NS,Keynote Financial Services Limited,Financial Services,Capital Markets,1489911168,10.223453,0.921,0.37,479.0,167.0
2005-07-04 00:00:00+05:30,9.603586196899414,9.603586196899414,9.603586196899414,9.603586196899414,200,0.0,0.0,KEYFINSERV.NS,Keynote Financial Services Limited,Financial Services,Capital Markets,1489911168,10.223453,0.921,0.37,479.0,167.0
2005-07-05 00:00:00+05:30,10.105734825134277,10.105734825134277,10.105734825134277,10.105734825134277,200,0.0,0.0,KEYFINSERV.NS,Keynote Financial Services Limited,Financial Services,Capital Markets,1489911168,10.223453,0.921,0.37,479.0,167.0
2005-07-06 00:00:00+05:30,10.105734825134277,10.105734825134277,10.105734825134277,10.105734825134277,0,0.0,0.0,KEYFINSERV.NS,Keynote Financial Services Limited,Financial Services,Capital Markets,1489911168,10.223453,0.921,0.37,479.0,167.0
2005-07-07 00:00:00+05:30,10.105734825134277,10.105734825134277,10.105734825134277,10.105734825134277,0,0.0,0.0,KEYFINSERV.NS,Keynote Financial Services Limited,Financial Services,Capital Markets,1489911168,10.223453,0.921,0.37,479.0,167.0
2005-07-08 00:00:00+05:30,10.105734825134277,10.105734825134277,10.105734825134277,10.105734825134277,0,0.0,0.0,KEYFINSERV.NS,Keynote Financial Services Limited,Financial Services,Capital Markets,1489911168,10.223453,0.921,0.37,479.0,167.0
2005-07-11 00:00:00+05:30,10.482347335742118,10.482347335742118,10.419578552246094,10.419578552246094,240,0.0,0.0,KEYFINSERV.NS,Keynote Financial Services Limited,Financial Services,Capital Markets,1489911168,10.223453,0.921,0.37,479.0,167.0
2005-07-12 00:00:00+05:30,10.953108787536621,10.953108787536621,10.953108787536621,10.953108787536621,330,0.0,0.0,KEYFINSERV.NS,Keynote Financial Services Limited,Financial Services,Capital Markets,1489911168,10.223453,0.921,0.37,479.0,167.0
2005-07-13 00:00:00+05:30,11.298336253264853,11.486641378600018,10.98449357956305,11.110031127929688,2700,0.0,0.0,KEYFINSERV.NS,Keynote Financial Services Limited,Financial Services,Capital Markets,1489911168,10.223453,0.921,0.37,479.0,167.0
2005-07-14 00:00:00+05:30,10.98449420928955,10.98449420928955,10.98449420928955,10.98449420928955,35,0.0,0.0,KEYFINSERV.NS,Keynote Financial Services Limited,Financial Services,Capital Markets,1489911168,10.223453,0.921,0.37,479.0,167.0
