Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Company Name,Sector,Industry,Market Cap,P/E Ratio,Beta,Dividend Yield,52 Week High,52 Week Low
2005-06-24 00:00:00+05:30,6.601866722106934,6.679185380113432,6.4650709952747585,6.601866722106934,343017,0.0,0.0,MANALIPETC.NS,Manali Petrochemicals Limited,Basic Materials,Specialty Chemicals,12555927552,42.941174,-0.138,1.07,104.95,49.93
2005-06-27 00:00:00+05:30,6.702975665370001,6.702975665370001,6.441279768942039,6.50075626373291,256917,0.0,0.0,MANALIPETC.NS,Manali Petrochemicals Limited,Basic Materials,Specialty Chemicals,12555927552,42.941174,-0.138,1.07,104.95,49.93
2005-06-28 00:00:00+05:30,6.619709876106599,6.619709876106599,6.346118971863928,6.363961696624756,253749,0.0,0.0,MANALIPETC.NS,Manali Petrochemicals Limited,Basic Materials,Specialty Chemicals,12555927552,42.941174,-0.138,1.07,104.95,49.93
2005-06-29 00:00:00+05:30,6.441279768942039,6.584022675788259,6.423437047388734,6.50075626373291,240491,0.0,0.0,MANALIPETC.NS,Manali Petrochemicals Limited,Basic Materials,Specialty Chemicals,12555927552,42.941174,-0.138,1.07,104.95,49.93
2005-06-30 00:00:00+05:30,6.679186300583596,6.8397725367507345,6.542391122109398,6.661343574523926,539463,0.0,0.0,MANALIPETC.NS,Manali Petrochemicals Limited,Basic Materials,Specialty Chemicals,12555927552,42.941174,-0.138,1.07,104.95,49.93
2005-07-01 00:00:00+05:30,6.423438844548855,6.720820267285283,6.423438844548855,6.542391300201416,228720,0.0,0.0,MANALIPETC.NS,Manali Petrochemicals Limited,Basic Materials,Specialty Chemicals,12555927552,42.941174,-0.138,1.07,104.95,49.93
2005-07-04 00:00:00+05:30,6.500757358095863,6.780295455925778,6.500757358095863,6.738662242889404,369532,0.0,0.0,MANALIPETC.NS,Manali Petrochemicals Limited,Basic Materials,Specialty Chemicals,12555927552,42.941174,-0.138,1.07,104.95,49.93
2005-07-05 00:00:00+05:30,6.5423903920812005,6.839771773539437,6.5423903920812005,6.560233116149902,513809,0.0,0.0,MANALIPETC.NS,Manali Petrochemicals Limited,Basic Materials,Specialty Chemicals,12555927552,42.941174,-0.138,1.07,104.95,49.93
2005-07-06 00:00:00+05:30,6.542390865702224,6.958724716441272,6.542390865702224,6.857614994049072,584241,0.0,0.0,MANALIPETC.NS,Manali Petrochemicals Limited,Basic Materials,Specialty Chemicals,12555927552,42.941174,-0.138,1.07,104.95,49.93
2005-07-07 00:00:00+05:30,7.05983360749982,7.535643909690926,6.94088117375453,7.018200397491455,3418961,0.0,0.0,MANALIPETC.NS,Manali Petrochemicals Limited,Basic Materials,Specialty Chemicals,12555927552,42.941174,-0.138,1.07,104.95,49.93
2005-07-08 00:00:00+05:30,6.899248609848429,7.392901681528566,6.899248609848429,7.273948669433594,1712544,0.0,0.0,MANALIPETC.NS,Manali Petrochemicals Limited,Basic Materials,Specialty Chemicals,12555927552,42.941174,-0.138,1.07,104.95,49.93
2005-07-11 00:00:00+05:30,7.53564413655472,7.6724392976775935,7.357215196960133,7.494010925292969,1914373,0.0,0.0,MANALIPETC.NS,Manali Petrochemicals Limited,Basic Materials,Specialty Chemicals,12555927552,42.941174,-0.138,1.07,104.95,49.93
2005-07-12 00:00:00+05:30,7.535645857108263,7.714074837442108,7.25610714015891,7.375059604644775,1525606,0.0,0.0,MANALIPETC.NS,Manali Petrochemicals Limited,Basic Materials,Specialty Chemicals,12555927552,42.941174,-0.138,1.07,104.95,49.93
2005-07-13 00:00:00+05:30,7.434533798180016,7.749757872404073,7.434533798180016,7.61296272277832,1831282,0.0,0.0,MANALIPETC.NS,Manali Petrochemicals Limited,Basic Materials,Specialty Chemicals,12555927552,42.941174,-0.138,1.07,104.95,49.93
