Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Company Name,Sector,Industry,Market Cap,P/E Ratio,Beta,Dividend Yield,52 Week High,52 Week Low
2017-11-06 00:00:00+05:30,237.82845254875173,240.32007022262275,223.4414030832412,228.5853729248047,43029311,0.0,0.0,NAM-INDIA.NS,Nippon Life India Asset Management Limited,Financial Services,Asset Management,487246790656,37.43021,0.206,2.68,821.95,498.05
2017-11-07 00:00:00+05:30,231.23776024796288,233.89011253755052,226.65639771680154,231.318115234375,5980837,0.0,0.0,NAM-INDIA.NS,Nippon Life India Asset Management Limited,Financial Services,Asset Management,487246790656,37.43021,0.206,2.68,821.95,498.05
2017-11-08 00:00:00+05:30,230.67510913270385,232.2826011824091,229.02743959310882,229.30873107910156,1885677,0.0,0.0,NAM-INDIA.NS,Nippon Life India Asset Management Limited,Financial Services,Asset Management,487246790656,37.43021,0.206,2.68,821.95,498.05
2017-11-09 00:00:00+05:30,229.79103744702357,231.47890940041248,229.06767076082485,230.83592224121094,1476764,0.0,0.0,NAM-INDIA.NS,Nippon Life India Asset Management Limited,Financial Services,Asset Management,487246790656,37.43021,0.206,2.68,821.95,498.05
2017-11-10 00:00:00+05:30,229.18816102112834,230.83585499521428,226.0937340961003,229.22836303710938,905132,0.0,0.0,NAM-INDIA.NS,Nippon Life India Asset Management Limited,Financial Services,Asset Management,487246790656,37.43021,0.206,2.68,821.95,498.05
2017-11-13 00:00:00+05:30,227.62093738842742,231.47890940041248,227.62093738842742,230.83592224121094,2141637,0.0,0.0,NAM-INDIA.NS,Nippon Life India Asset Management Limited,Financial Services,Asset Management,487246790656,37.43021,0.206,2.68,821.95,498.05
2017-11-14 00:00:00+05:30,232.2424223109774,232.2424223109774,215.3235538714457,219.7039794921875,1306130,0.0,0.0,NAM-INDIA.NS,Nippon Life India Asset Management Limited,Financial Services,Asset Management,487246790656,37.43021,0.206,2.68,821.95,498.05
2017-11-15 00:00:00+05:30,217.85538417057924,222.2358104999249,199.40942474304197,203.74964904785156,2250713,0.0,0.0,NAM-INDIA.NS,Nippon Life India Asset Management Limited,Financial Services,Asset Management,487246790656,37.43021,0.206,2.68,821.95,498.05
2017-11-16 00:00:00+05:30,204.95523228738531,223.9236430047569,190.88967713040788,218.73947143554688,4154606,0.0,0.0,NAM-INDIA.NS,Nippon Life India Asset Management Limited,Financial Services,Asset Management,487246790656,37.43021,0.206,2.68,821.95,498.05
2017-11-17 00:00:00+05:30,220.2263874887993,228.26384688620072,213.39454700100808,224.2451171875,1247735,0.0,0.0,NAM-INDIA.NS,Nippon Life India Asset Management Limited,Financial Services,Asset Management,487246790656,37.43021,0.206,2.68,821.95,498.05
2017-11-20 00:00:00+05:30,224.04418179581415,225.77223066901178,217.81515073243278,224.20494079589844,554463,0.0,0.0,NAM-INDIA.NS,Nippon Life India Asset Management Limited,Financial Services,Asset Management,487246790656,37.43021,0.206,2.68,821.95,498.05
2017-11-21 00:00:00+05:30,222.47688547158168,225.04888251163877,218.61891443987767,218.73947143554688,366109,0.0,0.0,NAM-INDIA.NS,Nippon Life India Asset Management Limited,Financial Services,Asset Management,487246790656,37.43021,0.206,2.68,821.95,498.05
2017-11-22 00:00:00+05:30,220.94975621338943,222.11519764941448,214.60016812946694,216.85064697265625,925427,0.0,0.0,NAM-INDIA.NS,Nippon Life India Asset Management Limited,Financial Services,Asset Management,487246790656,37.43021,0.206,2.68,821.95,498.05
2017-11-23 00:00:00+05:30,220.22638516827763,220.22638516827763,215.36373209543927,217.9759063720703,355274,0.0,0.0,NAM-INDIA.NS,Nippon Life India Asset Management Limited,Financial Services,Asset Management,487246790656,37.43021,0.206,2.68,821.95,498.05
2017-11-24 00:00:00+05:30,220.14603307043146,220.14603307043146,217.09180796280222,218.41798400878906,301275,0.0,0.0,NAM-INDIA.NS,Nippon Life India Asset Management Limited,Financial Services,Asset Management,487246790656,37.43021,0.206,2.68,821.95,498.05
2017-11-27 00:00:00+05:30,217.0114224219374,219.4226604488478,215.24317139085045,218.73947143554688,559725,0.0,0.0,NAM-INDIA.NS,Nippon Life India Asset Management Limited,Financial Services,Asset Management,487246790656,37.43021,0.206,2.68,821.95,498.05
