Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Company Name,Sector,Industry,Market Cap,P/E Ratio,Beta,Dividend Yield,52 Week High,52 Week Low
2005-06-24 00:00:00+05:30,53.55689139700547,53.66893624739342,51.31601718459792,52.47380447387695,87455,0.0,0.0,RICOAUTO.NS,Rico Auto Industries Limited,Consumer Cyclical,Auto Parts,10417147904,48.56962,0.428,0.79,148.0,54.0
2005-06-27 00:00:00+05:30,52.9966829516351,56.021865994894995,52.9966829516351,53.295467376708984,222480,0.0,0.0,RICOAUTO.NS,Rico Auto Industries Limited,Consumer Cyclical,Auto Parts,10417147904,48.56962,0.428,0.79,148.0,54.0
2005-06-28 00:00:00+05:30,55.94718067721993,55.94718067721993,52.84730243357445,53.482215881347656,78412,0.0,0.0,RICOAUTO.NS,Rico Auto Industries Limited,Consumer Cyclical,Auto Parts,10417147904,48.56962,0.428,0.79,148.0,54.0
2005-06-29 00:00:00+05:30,54.37855009843094,54.49058925052597,52.80993358304636,53.03402328491211,149247,0.0,0.0,RICOAUTO.NS,Rico Auto Industries Limited,Consumer Cyclical,Auto Parts,10417147904,48.56962,0.428,0.79,148.0,54.0
2005-06-30 00:00:00+05:30,53.6315945447893,54.15446294193481,52.43645701044853,53.85567855834961,50327,0.0,0.0,RICOAUTO.NS,Rico Auto Industries Limited,Consumer Cyclical,Auto Parts,10417147904,48.56962,0.428,0.79,148.0,54.0
2005-07-01 00:00:00+05:30,53.25811745622585,54.453249335850956,53.25811745622585,53.70629119873047,38240,0.0,0.0,RICOAUTO.NS,Rico Auto Industries Limited,Consumer Cyclical,Auto Parts,10417147904,48.56962,0.428,0.79,148.0,54.0
2005-07-04 00:00:00+05:30,54.07976940696526,55.274901267577675,53.7809850171026,54.49059295654297,119546,0.0,0.0,RICOAUTO.NS,Rico Auto Industries Limited,Consumer Cyclical,Auto Parts,10417147904,48.56962,0.428,0.79,148.0,54.0
2005-07-05 00:00:00+05:30,55.312241355672306,63.342039736070376,55.312241355672306,59.34580993652344,1212265,0.0,0.0,RICOAUTO.NS,Rico Auto Industries Limited,Consumer Cyclical,Auto Parts,10417147904,48.56962,0.428,0.79,148.0,54.0
2005-07-06 00:00:00+05:30,60.46625830159372,63.86492007024746,59.98074007650456,61.960174560546875,763275,0.0,0.0,RICOAUTO.NS,Rico Auto Industries Limited,Consumer Cyclical,Auto Parts,10417147904,48.56962,0.428,0.79,148.0,54.0
2005-07-07 00:00:00+05:30,62.55774739616699,62.55774739616699,58.44947741791125,58.935001373291016,202173,0.0,0.0,RICOAUTO.NS,Rico Auto Industries Limited,Consumer Cyclical,Auto Parts,10417147904,48.56962,0.428,0.79,148.0,54.0
2005-07-08 00:00:00+05:30,59.75665297619341,62.74448562500308,59.00969481399099,61.32526397705078,192383,0.0,0.0,RICOAUTO.NS,Rico Auto Industries Limited,Consumer Cyclical,Auto Parts,10417147904,48.56962,0.428,0.79,148.0,54.0
2005-07-11 00:00:00+05:30,63.26734083526961,63.26734083526961,60.354209170635365,61.138511657714844,181955,0.0,0.0,RICOAUTO.NS,Rico Auto Industries Limited,Consumer Cyclical,Auto Parts,10417147904,48.56962,0.428,0.79,148.0,54.0
2005-07-12 00:00:00+05:30,60.503611371561064,61.810788160452816,57.70251825250731,60.87709045410156,177312,0.0,0.0,RICOAUTO.NS,Rico Auto Industries Limited,Consumer Cyclical,Auto Parts,10417147904,48.56962,0.428,0.79,148.0,54.0
