Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Company Name,Sector,Industry,Market Cap,P/E Ratio,Beta,Dividend Yield,52 Week High,52 Week Low
2005-06-24 00:00:00+05:30,35.569221755579946,36.13302993774414,34.48539570172309,36.13302993774414,43024,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-06-27 00:00:00+05:30,37.868255292439244,37.939414978027344,37.868255292439244,37.939414978027344,18544,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-06-28 00:00:00+05:30,39.400932231630165,39.83884201656851,36.04544917273741,36.275352478027344,202808,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-06-29 00:00:00+05:30,37.222331797424786,38.09267883320036,36.34651222572067,37.80803680419922,49104,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-06-30 00:00:00+05:30,38.21857096471968,39.23123717853473,36.56546112586225,37.238746643066406,36768,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-07-01 00:00:00+05:30,37.441287674452525,37.933936196484794,36.80084392761325,37.129276275634766,18224,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-07-04 00:00:00+05:30,37.76972171204593,37.76972171204593,35.908604990003084,35.925025939941406,13280,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-07-05 00:00:00+05:30,35.580173020987175,36.34104267275377,35.14226319919041,35.79365539550781,12192,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-07-06 00:00:00+05:30,34.167914250222346,35.03278547339954,34.15696583656455,34.332130432128906,7448,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-07-07 00:00:00+05:30,34.44707947948954,34.9616248384303,33.10598069732153,33.396095275878906,7800,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-07-08 00:00:00+05:30,34.7919387352378,34.81383556569918,33.18262192594406,34.16791915893555,11696,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-07-11 00:00:00+05:30,34.91784044371919,35.88124084472656,34.91784044371919,35.88124084472656,10584,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-07-12 00:00:00+05:30,37.22233410102479,37.676664863766426,36.784424288071556,37.14569854736328,60832,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-07-13 00:00:00+05:30,38.64554517341383,38.74407422378885,35.689653616240534,36.1275634765625,20888,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-07-14 00:00:00+05:30,35.04373246816972,36.31914409447311,34.62224361681121,35.14226150512695,7688,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-07-15 00:00:00+05:30,35.03278838507992,35.03278838507992,34.15696867545292,34.54561233520508,6568,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-07-18 00:00:00+05:30,35.66228110636568,36.275355524971786,34.70982590772881,35.9852409362793,20752,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-07-19 00:00:00+05:30,35.79913330078125,36.34652066012041,35.760815517430046,35.79913330078125,3440,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-07-20 00:00:00+05:30,35.580175559869105,36.127562876174785,34.791936487994114,35.88671112060547,26312,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-07-21 00:00:00+05:30,36.018075463729076,36.66399165035252,35.634904448157485,36.165870666503906,82784,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-07-22 00:00:00+05:30,37.222339738505966,37.97773361206055,37.2113913233266,37.97773361206055,29712,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-07-25 00:00:00+05:30,38.56890681193214,39.87716376107881,37.99962603942717,38.82617950439453,22944,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-07-26 00:00:00+05:30,39.849789100395675,39.849789100395675,36.89389815064105,37.60002899169922,17800,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-07-27 00:00:00+05:30,38.20762613197672,38.20762613197672,36.67494198914671,37.118324279785156,1632,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-07-28 00:00:00+05:30,74.23664855957031,74.23664855957031,74.23664855957031,74.23664855957031,0,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-07-29 00:00:00+05:30,37.11285336475603,38.97396990517152,36.12755637277135,38.930179595947266,82560,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-08-01 00:00:00+05:30,39.29146017371999,40.878883361816406,37.99415158973346,40.878883361816406,38224,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-08-02 00:00:00+05:30,42.115980585414874,42.92611312866211,42.115980585414874,42.92611312866211,4416,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-08-03 00:00:00+05:30,44.99523556376253,45.077343657856986,43.90046097583643,44.360267639160156,52848,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-08-04 00:00:00+05:30,45.00070823803858,45.54262299711536,44.03183539754813,44.60111618041992,22488,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-08-05 00:00:00+05:30,44.995225227750865,45.761567263260005,44.447838059530056,45.34555435180664,42296,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-08-08 00:00:00+05:30,47.51321479087533,47.51321479087533,43.134116653467466,43.730770111083984,38144,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-08-09 00:00:00+05:30,45.25797169579151,45.92031219288962,44.88574907894385,45.17039108276367,43144,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-08-10 00:00:00+05:30,47.075309472925525,47.075309472925525,43.79098555620979,44.666805267333984,111304,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-08-11 00:00:00+05:30,44.146794560853536,45.10472252714608,43.13412785362999,43.46803283691406,61312,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-08-12 00:00:00+05:30,43.807410987924534,43.90046750994609,43.02464770924891,43.30381393432617,19016,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-08-16 00:00:00+05:30,43.134117429116515,44.8857567155781,43.134117429116515,43.446128845214844,13576,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-08-17 00:00:00+05:30,42.36778056402582,43.79098766307578,42.14882562571044,43.391395568847656,14056,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-08-18 00:00:00+05:30,43.134110967917515,43.68149816294185,41.39889289149312,41.73827362060547,7080,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-08-19 00:00:00+05:30,41.8203838999921,43.23264226925527,41.61237742313708,41.98460006713867,7736,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-08-22 00:00:00+05:30,40.50666120983589,42.69621046442161,40.50666120983589,40.796775817871094,29288,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-08-23 00:00:00+05:30,41.05404609159397,41.05404609159397,38.864496966708955,38.8973388671875,13728,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-08-24 00:00:00+05:30,39.30240074495966,39.41187818436067,36.95410833341365,37.57265853881836,18568,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-08-25 00:00:00+05:30,37.22234105223155,39.45568084716797,36.62021494697486,39.45568084716797,10608,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-08-26 00:00:00+05:30,39.5213544446346,41.43173704157998,38.755012391691544,39.53230285644531,26496,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
2005-08-29 00:00:00+05:30,39.41187793346892,39.41187793346892,38.31710354642812,38.85354232788086,8600,0.0,0.0,RUBYMILLS.NS,The Ruby Mills Limited,Consumer Cyclical,Textile Manufacturing,8151305728,19.082277,0.144,0.73,324.0,171.78
