Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Company Name,Sector,Industry,Market Cap,P/E Ratio,Beta,Dividend Yield,52 Week High,52 Week Low
2005-06-24 00:00:00+05:30,42.85666839617272,45.38612578728345,42.51796508277077,45.007789611816406,5783410,0.0,0.0,TATACONSUM.NS,Tata Consumer Products Limited,Consumer Defensive,Packaged Foods,1068196954112,81.96947,0.482,0.77,1247.099,882.9
2005-06-27 00:00:00+05:30,45.04021718666114,46.36619854156122,44.67989544916785,46.038307189941406,4137960,0.0,0.0,TATACONSUM.NS,Tata Consumer Products Limited,Consumer Defensive,Packaged Foods,1068196954112,81.96947,0.482,0.77,1247.099,882.9
2005-06-28 00:00:00+05:30,45.97704771823041,45.97704771823041,44.10337600441395,44.40964889526367,1981900,0.0,0.0,TATACONSUM.NS,Tata Consumer Products Limited,Consumer Defensive,Packaged Foods,1068196954112,81.96947,0.482,0.77,1247.099,882.9
2005-06-29 00:00:00+05:30,43.966459547341096,45.03301436643184,43.59893256504666,44.45289611816406,2119590,0.0,0.0,TATACONSUM.NS,Tata Consumer Products Limited,Consumer Defensive,Packaged Foods,1068196954112,81.96947,0.482,0.77,1247.099,882.9
2005-06-30 00:00:00+05:30,44.96815655225433,45.40054156276112,44.121398220703504,44.687103271484375,3085890,0.0,0.0,TATACONSUM.NS,Tata Consumer Products Limited,Consumer Defensive,Packaged Foods,1068196954112,81.96947,0.482,0.77,1247.099,882.9
2005-07-01 00:00:00+05:30,44.75196398269311,46.121187846500916,44.46370820807469,45.93021774291992,1771420,0.0,0.0,TATACONSUM.NS,Tata Consumer Products Limited,Consumer Defensive,Packaged Foods,1068196954112,81.96947,0.482,0.77,1247.099,882.9
2005-07-04 00:00:00+05:30,45.977050613086085,46.45627640819644,45.68879488844598,46.06713104248047,2025280,0.0,0.0,TATACONSUM.NS,Tata Consumer Products Limited,Consumer Defensive,Packaged Foods,1068196954112,81.96947,0.482,0.77,1247.099,882.9
2005-07-05 00:00:00+05:30,45.90498454015517,46.049113768111106,44.89608269350001,45.52664566040039,853850,0.0,0.0,TATACONSUM.NS,Tata Consumer Products Limited,Consumer Defensive,Packaged Foods,1068196954112,81.96947,0.482,0.77,1247.099,882.9
2005-07-06 00:00:00+05:30,45.52664401700575,45.76085366035023,45.33567396519812,45.47259521484375,2105320,0.0,0.0,TATACONSUM.NS,Tata Consumer Products Limited,Consumer Defensive,Packaged Foods,1068196954112,81.96947,0.482,0.77,1247.099,882.9
2005-07-07 00:00:00+05:30,44.82402480004954,45.977053263142054,44.82402480004954,45.37531661987305,1771160,0.0,0.0,TATACONSUM.NS,Tata Consumer Products Limited,Consumer Defensive,Packaged Foods,1068196954112,81.96947,0.482,0.77,1247.099,882.9
2005-07-08 00:00:00+05:30,45.37532007793913,45.977056767066664,45.043824713166266,45.30685806274414,431490,0.0,0.0,TATACONSUM.NS,Tata Consumer Products Limited,Consumer Defensive,Packaged Foods,1068196954112,81.96947,0.482,0.77,1247.099,882.9
2005-07-11 00:00:00+05:30,45.30686017673873,47.56247530566185,44.70151947197792,46.6580696105957,2443040,0.0,0.0,TATACONSUM.NS,Tata Consumer Products Limited,Consumer Defensive,Packaged Foods,1068196954112,81.96947,0.482,0.77,1247.099,882.9
2005-07-12 00:00:00+05:30,47.130086228402796,47.130086228402796,45.90499172264835,46.4995231628418,1861580,0.0,0.0,TATACONSUM.NS,Tata Consumer Products Limited,Consumer Defensive,Packaged Foods,1068196954112,81.96947,0.482,0.77,1247.099,882.9
2005-07-13 00:00:00+05:30,46.769761876440505,46.769761876440505,45.544667438796445,46.03110122680664,1342560,0.0,0.0,TATACONSUM.NS,Tata Consumer Products Limited,Consumer Defensive,Packaged Foods,1068196954112,81.96947,0.482,0.77,1247.099,882.9
2005-07-14 00:00:00+05:30,45.95903814773132,47.49040551311349,45.40053836191845,45.98426055908203,1629600,0.0,0.0,TATACONSUM.NS,Tata Consumer Products Limited,Consumer Defensive,Packaged Foods,1068196954112,81.96947,0.482,0.77,1247.099,882.9
