Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Company Name,Sector,Industry,Market Cap,P/E Ratio,Beta,Dividend Yield,52 Week High,52 Week Low
2005-06-24 00:00:00+05:30,26.38159132995718,26.591524322077017,26.038700591747634,26.402584075927734,2355056,0.0,0.0,TATAPOWER.NS,Tata Power Company Limited,Utilities,Utilities - Independent Power Producers,1261495648256,31.65456,0.61,0.57,494.85,326.35
2005-06-27 00:00:00+05:30,26.45157180777261,26.906424796567748,26.31861405680906,26.731481552124023,2899616,0.0,0.0,TATAPOWER.NS,Tata Power Company Limited,Utilities,Utilities - Independent Power Producers,1261495648256,31.65456,0.61,0.57,494.85,326.35
2005-06-28 00:00:00+05:30,26.731481963379473,27.151347969469715,26.280125453591005,26.49705696105957,4336389,0.0,0.0,TATAPOWER.NS,Tata Power Company Limited,Utilities,Utilities - Independent Power Producers,1261495648256,31.65456,0.61,0.57,494.85,326.35
2005-06-29 00:00:00+05:30,26.48305866909228,26.48305866909228,25.83226694442512,26.059696197509766,4047772,0.0,0.0,TATAPOWER.NS,Tata Power Company Limited,Utilities,Utilities - Independent Power Producers,1261495648256,31.65456,0.61,0.57,494.85,326.35
2005-06-30 00:00:00+05:30,26.03170505253659,26.658004781645616,26.028205800480276,26.357099533081055,6116430,0.0,0.0,TATAPOWER.NS,Tata Power Company Limited,Utilities,Utilities - Independent Power Producers,1261495648256,31.65456,0.61,0.57,494.85,326.35
2005-07-01 00:00:00+05:30,26.38159724160555,26.969410857742563,26.38159724160555,26.94141960144043,3112462,0.0,0.0,TATAPOWER.NS,Tata Power Company Limited,Utilities,Utilities - Independent Power Producers,1261495648256,31.65456,0.61,0.57,494.85,326.35
2005-07-04 00:00:00+05:30,27.01139577469205,27.970091441434818,27.01139577469205,27.86162567138672,8483880,0.0,0.0,TATAPOWER.NS,Tata Power Company Limited,Utilities,Utilities - Independent Power Producers,1261495648256,31.65456,0.61,0.57,494.85,326.35
2005-07-05 00:00:00+05:30,27.987576565050457,28.131032053349347,26.98689569726988,27.22831916809082,3818450,0.0,0.0,TATAPOWER.NS,Tata Power Company Limited,Utilities,Utilities - Independent Power Producers,1261495648256,31.65456,0.61,0.57,494.85,326.35
2005-07-06 00:00:00+05:30,27.43125915089687,28.061060959134867,27.221326136886685,27.94559669494629,4271685,0.0,0.0,TATAPOWER.NS,Tata Power Company Limited,Utilities,Utilities - Independent Power Producers,1261495648256,31.65456,0.61,0.57,494.85,326.35
2005-07-07 00:00:00+05:30,28.054062323146987,28.236004083357777,27.529229790575968,27.67618179321289,4507235,0.0,0.0,TATAPOWER.NS,Tata Power Company Limited,Utilities,Utilities - Independent Power Producers,1261495648256,31.65456,0.61,0.57,494.85,326.35
