Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Company Name,Sector,Industry,Market Cap,P/E Ratio,Beta,Dividend Yield,52 Week High,52 Week Low
2022-12-12 00:00:00+05:30,528.1053422752783,529.9422304223227,492.7452454446727,495.63836669921875,7530518,0.0,0.0,UNIPARTS.NS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,17051951104,19.267042,0.571,4.01,555.0,296.65
2022-12-13 00:00:00+05:30,496.92418202664066,531.9628477765204,496.92418202664066,519.288330078125,3608222,0.0,0.0,UNIPARTS.NS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,17051951104,19.267042,0.571,4.01,555.0,296.65
2022-12-14 00:00:00+05:30,522.5946627001321,542.5708207207434,519.2882865541536,529.1615600585938,3029973,0.0,0.0,UNIPARTS.NS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,17051951104,19.267042,0.571,4.01,555.0,296.65
2022-12-15 00:00:00+05:30,528.1512476514629,540.779853528109,518.9208960221895,520.6199951171875,962639,0.0,0.0,UNIPARTS.NS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,17051951104,19.267042,0.571,4.01,555.0,296.65
2022-12-16 00:00:00+05:30,519.7474063507223,531.5034766276316,514.5122651014541,523.7426147460938,855040,0.0,0.0,UNIPARTS.NS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,17051951104,19.267042,0.571,4.01,555.0,296.65
2022-12-19 00:00:00+05:30,526.9113723821147,540.6880333853561,518.9208977887592,537.1060791015625,971533,0.0,0.0,UNIPARTS.NS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,17051951104,19.267042,0.571,4.01,555.0,296.65
2022-12-20 00:00:00+05:30,540.688074463146,545.3262061418021,527.4165454769345,529.4371337890625,645687,0.0,0.0,UNIPARTS.NS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,17051951104,19.267042,0.571,4.01,555.0,296.65
2022-12-21 00:00:00+05:30,532.4679188689248,535.636561939128,496.8782132092942,517.8187255859375,704740,0.0,0.0,UNIPARTS.NS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,17051951104,19.267042,0.571,4.01,555.0,296.65
2022-12-22 00:00:00+05:30,523.5130340535536,523.8804340442578,494.2606176438593,517.3135375976562,656588,0.0,0.0,UNIPARTS.NS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,17051951104,19.267042,0.571,4.01,555.0,296.65
2022-12-23 00:00:00+05:30,507.1648011764131,510.65487725553356,486.82124362538764,496.8323059082031,429679,0.0,0.0,UNIPARTS.NS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,17051951104,19.267042,0.571,4.01,555.0,296.65
2022-12-26 00:00:00+05:30,497.75072202579827,512.491736570519,491.82674719267555,497.6588439941406,535661,0.0,0.0,UNIPARTS.NS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,17051951104,19.267042,0.571,4.01,555.0,296.65
2022-12-27 00:00:00+05:30,501.8378071262157,510.9762797726275,493.38811139923985,507.6239929199219,463933,0.0,0.0,UNIPARTS.NS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,17051951104,19.267042,0.571,4.01,555.0,296.65
2022-12-28 00:00:00+05:30,503.9961225441318,519.8392808382298,499.9549467012398,517.9564819335938,369658,0.0,0.0,UNIPARTS.NS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,17051951104,19.267042,0.571,4.01,555.0,296.65
2022-12-29 00:00:00+05:30,516.6705967535039,520.252550331127,508.0831688440842,519.3341064453125,266439,0.0,0.0,UNIPARTS.NS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,17051951104,19.267042,0.571,4.01,555.0,296.65
2022-12-30 00:00:00+05:30,521.9057952589205,532.2382901056656,515.5225983421236,528.5645141601562,317372,0.0,0.0,UNIPARTS.NS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,17051951104,19.267042,0.571,4.01,555.0,296.65
2023-01-02 00:00:00+05:30,532.4220478770753,537.2897903215039,520.75779677315,523.9723510742188,402419,0.0,0.0,UNIPARTS.NS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,17051951104,19.267042,0.571,4.01,555.0,296.65
2023-01-03 00:00:00+05:30,523.880497756843,533.707804043609,522.5946536903667,527.003173828125,243060,0.0,0.0,UNIPARTS.NS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,17051951104,19.267042,0.571,4.01,555.0,296.65
2023-01-04 00:00:00+05:30,529.3911671481301,530.9065661799028,516.7165945485734,524.5693359375,150654,0.0,0.0,UNIPARTS.NS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,17051951104,19.267042,0.571,4.01,555.0,296.65
2023-01-05 00:00:00+05:30,523.3752864521998,527.8297734481123,497.79664369628966,502.7102966308594,391285,0.0,0.0,UNIPARTS.NS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,17051951104,19.267042,0.571,4.01,555.0,296.65
2023-01-06 00:00:00+05:30,504.8227079638138,510.3333713191221,497.42918978288196,503.1694641113281,340090,0.0,0.0,UNIPARTS.NS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,17051951104,19.267042,0.571,4.01,555.0,296.65
2023-01-09 00:00:00+05:30,505.9708625945897,511.34373800246834,505.9708625945897,507.3944396972656,63254,0.0,0.0,UNIPARTS.NS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,17051951104,19.267042,0.571,4.01,555.0,296.65
2023-01-10 00:00:00+05:30,508.81795950681584,508.863870493853,499.6335198045267,502.15924072265625,80863,0.0,0.0,UNIPARTS.NS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,17051951104,19.267042,0.571,4.01,555.0,296.65
2023-01-11 00:00:00+05:30,502.15922820888926,512.7672445892081,501.56221722016943,508.6342468261719,104562,0.0,0.0,UNIPARTS.NS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,17051951104,19.267042,0.571,4.01,555.0,296.65
2023-01-12 00:00:00+05:30,510.33344932828936,511.9407263859414,506.10857314232186,509.1853942871094,93565,0.0,0.0,UNIPARTS.NS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,17051951104,19.267042,0.571,4.01,555.0,296.65
2023-01-13 00:00:00+05:30,509.7364415691217,517.5891268899277,507.71585347214744,514.3745727539062,182806,0.0,0.0,UNIPARTS.NS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,17051951104,19.267042,0.571,4.01,555.0,296.65
2023-01-16 00:00:00+05:30,518.553501513689,518.553501513689,513.6398481430498,515.7522583007812,68778,0.0,0.0,UNIPARTS.NS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,17051951104,19.267042,0.571,4.01,555.0,296.65
2023-01-17 00:00:00+05:30,517.4973026681618,517.4973026681618,506.2922742310738,508.6802062988281,41801,0.0,0.0,UNIPARTS.NS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,17051951104,19.267042,0.571,4.01,555.0,296.65
2023-01-18 00:00:00+05:30,509.69059888836193,512.9051534552042,504.3176669064959,508.4047546386719,64030,0.0,0.0,UNIPARTS.NS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,17051951104,19.267042,0.571,4.01,555.0,296.65
2023-01-19 00:00:00+05:30,505.32790451263156,507.85362553512914,500.5519844586159,501.4704284667969,54056,0.0,0.0,UNIPARTS.NS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,17051951104,19.267042,0.571,4.01,555.0,296.65
2023-01-20 00:00:00+05:30,505.0523870557486,511.0222731625193,501.92965497694973,507.0270080566406,66823,0.0,0.0,UNIPARTS.NS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,17051951104,19.267042,0.571,4.01,555.0,296.65
2023-01-23 00:00:00+05:30,505.23594292087614,510.24147314911653,498.7150139641797,500.23046875,94640,0.0,0.0,UNIPARTS.NS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,17051951104,19.267042,0.571,4.01,555.0,296.65
2023-01-24 00:00:00+05:30,501.47045615966744,506.0626764541699,499.6335680418665,502.2052001953125,116021,0.0,0.0,UNIPARTS.NS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,17051951104,19.267042,0.571,4.01,555.0,296.65
2023-01-25 00:00:00+05:30,502.43471357943685,506.98102199905367,496.9240502968384,501.14892578125,79257,0.0,0.0,UNIPARTS.NS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,17051951104,19.267042,0.571,4.01,555.0,296.65
2023-01-27 00:00:00+05:30,502.3429786028026,506.06266575120475,494.7199042866279,499.587646484375,161597,0.0,0.0,UNIPARTS.NS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,17051951104,19.267042,0.571,4.01,555.0,296.65
2023-01-30 00:00:00+05:30,496.969998541807,509.73639185998707,496.8322655838344,506.5677490234375,90849,0.0,0.0,UNIPARTS.NS,Uniparts India Limited,Industrials,Farm & Heavy Construction Machinery,17051951104,19.267042,0.571,4.01,555.0,296.65
