Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol,Company Name,Sector,Industry,Market Cap,P/E Ratio,Beta,Dividend Yield,52 Week High,52 Week Low
2005-06-24 00:00:00+05:30,69.1549139157459,69.96850113828408,68.34132669320772,68.91083526611328,5946,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-06-27 00:00:00+05:30,70.45664724289828,70.45664724289828,64.00218824003542,65.19544982910156,24838,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-06-28 00:00:00+05:30,67.12094743184144,68.34132829423855,65.65648791409367,66.09040069580078,19185,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-06-29 00:00:00+05:30,65.73783197607051,72.7075597704571,65.71070661608346,71.4600601196289,282225,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-06-30 00:00:00+05:30,71.43294778388898,71.97533709904431,68.2599569448002,69.04642486572266,71242,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-07-01 00:00:00+05:30,69.42610200495787,75.93479887394838,67.82604694418589,72.68045043945312,128757,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-07-04 00:00:00+05:30,72.95163112398467,75.582232360027,72.13804413670165,75.12120056152344,61513,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-07-05 00:00:00+05:30,75.12121111624712,77.56197242102941,74.85001334665675,75.69071960449219,91552,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-07-06 00:00:00+05:30,78.48403223236969,80.59935734955477,75.93479442979218,78.97218322753906,130615,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-07-07 00:00:00+05:30,80.27392612612175,80.81632167096399,71.64990400064248,74.00930786132812,48117,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-07-08 00:00:00+05:30,75.93479003276192,81.35870138968195,75.93479003276192,77.67044067382812,42669,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-07-11 00:00:00+05:30,80.27391333851898,80.92478540577517,79.18913483599341,80.11119842529297,61909,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-07-12 00:00:00+05:30,80.7891929014739,86.7826126806998,79.54168702108156,84.04354095458984,185278,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-07-13 00:00:00+05:30,85.69784679090388,86.67414886815527,83.90795137304002,84.20626831054688,63352,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-07-14 00:00:00+05:30,86.21309037459781,90.85053312082313,84.20624231778575,88.6267318725586,130852,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-07-15 00:00:00+05:30,88.95219709345544,93.18284778857408,87.86741215824514,89.223388671875,108777,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-07-18 00:00:00+05:30,91.6641475168002,94.91849602280703,91.12175816819145,93.535400390625,79120,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-07-19 00:00:00+05:30,95.97615234426486,96.00327149867306,91.66413851441995,92.80316162109375,32242,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-07-20 00:00:00+05:30,95.23951010340649,96.07008724482225,93.02463983856471,93.85521697998047,52824,201.93248,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-07-21 00:00:00+05:30,96.09777952817682,96.12546501239667,91.30812105332953,92.3324966430664,20439,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-07-22 00:00:00+05:30,94.10439835810541,94.18745480991853,91.97257807409562,92.69241333007812,18291,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-07-25 00:00:00+05:30,94.07671696852081,96.07010371706617,92.47093971168331,95.37796020507812,37045,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-07-26 00:00:00+05:30,95.37795354628022,97.1775354233341,93.66142178764876,94.13208770751953,26319,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-07-27 00:00:00+05:30,95.32257369064487,97.95273906001658,95.32257369064487,96.23621368408203,30529,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-07-28 00:00:00+05:30,96.23621368408203,96.23621368408203,96.23621368408203,96.23621368408203,0,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-07-29 00:00:00+05:30,96.34696685927294,105.76017837733127,96.34696685927294,101.35811614990234,94014,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-08-01 00:00:00+05:30,101.46886589296223,110.13456357552752,99.66928371591457,107.55976867675781,141940,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-08-02 00:00:00+05:30,110.05148623254803,118.3295669555664,108.50107366750844,118.3295669555664,254767,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-08-03 00:00:00+05:30,121.2642873351347,124.03287414564878,112.4324836231431,112.9862060546875,174949,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-08-04 00:00:00+05:30,111.8510694506082,115.14568649712737,108.80561543031457,109.88536834716797,47790,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-08-05 00:00:00+05:30,111.29735418163244,111.29735418163244,104.40356030581066,104.7081069946289,78165,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-08-08 00:00:00+05:30,105.206458693573,109.77464030220762,100.27836573723458,103.04695892333984,51010,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-08-09 00:00:00+05:30,103.54528018006307,108.2242026632544,101.3304099438309,106.92296600341797,94023,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-08-10 00:00:00+05:30,107.97502961740219,108.77791494892779,105.76015932726085,107.58743286132812,56215,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-08-11 00:00:00+05:30,107.69819548793055,112.9862060546875,107.69819548793055,112.9862060546875,75139,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-08-12 00:00:00+05:30,118.46800261769152,118.60643638687134,113.29073426832723,114.03826141357422,66376,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-08-16 00:00:00+05:30,116.28081159538095,119.7415542602539,113.53990421591216,119.7415542602539,60769,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-08-17 00:00:00+05:30,121.4857750595501,125.74940369782036,120.15685892508908,121.15354919433594,81802,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-08-18 00:00:00+05:30,124.14360771133285,124.14360771133285,118.77254738050209,119.43701171875,33588,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-08-19 00:00:00+05:30,120.71057651559774,124.58660856206366,115.20108151566717,117.11141204833984,30952,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-08-22 00:00:00+05:30,118.44030708375426,119.6031100284794,115.20104858298868,115.53328704833984,22423,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-08-23 00:00:00+05:30,115.92088603705695,116.75146320602254,109.77462005615234,109.77462005615234,24157,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-08-24 00:00:00+05:30,108.55643647128593,109.63618935572183,104.73578265503767,106.06470489501953,27012,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-08-25 00:00:00+05:30,107.4213228206232,110.18992217291783,106.31389068386737,107.61512756347656,29436,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-08-26 00:00:00+05:30,110.57752054343514,112.40478803059585,106.31389218219228,108.63951110839844,41743,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-08-29 00:00:00+05:30,106.31389019500624,109.63619926360018,104.09901959487749,105.45562744140625,26412,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-08-30 00:00:00+05:30,108.52876523103312,110.7436294555664,106.89528987499665,110.7436294555664,16615,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-08-31 00:00:00+05:30,111.82338596642127,116.28081905327737,111.82338596642127,115.0626449584961,47605,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-09-01 00:00:00+05:30,115.17339277760648,119.04941182791929,113.5676091115269,113.78909301757812,29871,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-09-02 00:00:00+05:30,111.85108413829352,114.12131953563595,110.3283505913882,111.15892791748047,26460,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-09-05 00:00:00+05:30,112.23867194514587,114.06593938080198,110.74363034375334,112.37710571289062,15976,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-09-06 00:00:00+05:30,114.28744471783935,114.28744471783935,109.6915776160794,112.01719665527344,16950,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-09-08 00:00:00+05:30,114.06593742369199,115.09031940550013,112.51552487652373,113.09693908691406,22212,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-09-09 00:00:00+05:30,112.95851779825219,112.95851779825219,109.66390027681854,110.16223907470703,13132,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-09-12 00:00:00+05:30,111.85107265042537,112.9585047469395,110.18991816885273,110.82669067382812,14712,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-09-13 00:00:00+05:30,112.3770971060867,112.3770971060867,110.21759132795731,110.96511840820312,10675,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-09-14 00:00:00+05:30,110.7436256232418,116.28081134016482,110.21759507127855,113.06924438476562,42537,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-09-15 00:00:00+05:30,116.2254617633538,118.744873046875,114.89653289112823,118.744873046875,57223,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-09-16 00:00:00+05:30,120.15685401319712,124.69733735353543,120.15685401319712,122.73163604736328,83772,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-09-19 00:00:00+05:30,124.03285171029232,125.14029637306392,120.15683341139679,121.34732818603516,31917,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-09-20 00:00:00+05:30,119.32623228448404,121.01506541192651,116.94524321342817,118.19110870361328,25879,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
2005-09-21 00:00:00+05:30,117.9419654799343,119.04939755098633,112.29403783772396,113.04156494140625,31579,0.0,0.0,VENKEYS.NS,Venky's (India) Limited,Consumer Defensive,Farm Products,22911227904,19.580462,0.423,0.43,2559.95,1521.95
